Sector,Area,Basis,Measure,Units,Year,Value
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2018,"4,522.324"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2019,"4,619.904"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2020,"4,493.924"
Private nonfarm,Arizona,All workers,Hours worked,Millions of hours,2021,"4,663.462"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2007,"1,837.477"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2008,"1,836.866"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2009,"1,720.544"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2010,"1,713.362"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2011,"1,754.211"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2012,"1,757.286"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2013,"1,739.377"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2014,"1,754.290"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2015,"1,785.401"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2016,"1,811.700"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2017,"1,868.708"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2018,"1,896.015"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2019,"1,917.970"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2020,"1,835.452"
Private nonfarm,Arkansas,All workers,Hours worked,Millions of hours,2021,"1,940.210"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2007,"25,100.352"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2008,"24,276.289"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2009,"22,379.946"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2010,"22,332.549"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2011,"22,780.785"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2012,"23,347.916"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2013,"24,192.767"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2014,"24,907.289"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2015,"25,691.855"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2016,"26,262.867"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2017,"26,867.506"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2018,"27,540.370"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2019,"27,479.218"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2020,"25,084.462"
Private nonfarm,California,All workers,Hours worked,Millions of hours,2021,"26,422.574"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2007,"3,673.313"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2008,"3,672.508"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2009,"3,387.571"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2010,"3,349.267"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2011,"3,425.386"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2012,"3,546.919"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2013,"3,634.266"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2014,"3,723.957"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2015,"3,772.782"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2016,"3,824.261"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2017,"3,902.861"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2018,"4,049.827"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2019,"4,072.495"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2020,"3,849.613"
Private nonfarm,Colorado,All workers,Hours worked,Millions of hours,2021,"4,064.907"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2007,"2,629.768"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2008,"2,571.184"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2009,"2,406.655"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2010,"2,407.037"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2011,"2,478.442"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2012,"2,526.278"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2013,"2,483.673"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2014,"2,524.887"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2015,"2,534.422"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2016,"2,594.188"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2017,"2,544.033"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2018,"2,593.377"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2019,"2,572.339"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2020,"2,426.493"
Private nonfarm,Connecticut,All workers,Hours worked,Millions of hours,2021,"2,511.456"
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2007,663.765
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2008,649.312
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2009,591.647
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2010,578.474
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2011,599.232
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2012,606.056
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2013,611.073
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2014,625.618
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2015,644.750
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2016,656.747
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2017,651.230
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2018,662.959
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2019,667.867
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2020,608.344
Private nonfarm,Delaware,All workers,Hours worked,Millions of hours,2021,639.870
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2007,845.542
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2008,837.869
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2009,835.912
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2010,820.657
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2011,848.590
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2012,871.277
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2013,899.538
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2014,920.304
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2015,925.428
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2016,947.706
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2017,956.693
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2018,968.202
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2019,983.289
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2020,892.731
Private nonfarm,District of Columbia,All workers,Hours worked,Millions of hours,2021,883.998
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2007,"12,827.333"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2008,"12,129.317"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2009,"11,239.122"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2010,"11,248.163"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2011,"11,206.454"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2012,"11,337.087"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2013,"11,803.500"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2014,"12,235.769"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2015,"12,613.926"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2016,"12,960.099"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2017,"13,267.073"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2018,"13,938.736"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2019,"14,012.725"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2020,"13,077.435"
Private nonfarm,Florida,All workers,Hours worked,Millions of hours,2021,"14,270.111"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2007,"6,492.891"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2008,"6,316.491"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2009,"5,832.288"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2010,"5,743.520"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2011,"5,845.105"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2012,"6,018.924"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2013,"6,088.217"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2014,"6,344.810"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2015,"6,492.877"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2016,"6,661.306"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2017,"6,830.328"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2018,"6,927.042"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2019,"7,041.943"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2020,"6,602.137"
Private nonfarm,Georgia,All workers,Hours worked,Millions of hours,2021,"7,073.740"
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2007,889.797
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2008,885.161
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2009,821.556
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2010,827.376
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2011,839.778
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2012,886.562
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2013,880.499
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2014,913.735
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2015,916.596
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2016,917.075
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2017,920.102
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2018,924.543
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2019,920.187
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2020,758.150
Private nonfarm,Hawaii,All workers,Hours worked,Millions of hours,2021,816.372
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2007,"1,026.068"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2008,989.708
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2009,892.631
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2010,891.088
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2011,916.492
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2012,914.175
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2013,922.541
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2014,955.183
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2015,995.993
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2016,"1,006.015"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2017,"1,063.296"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2018,"1,104.437"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2019,"1,123.900"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2020,"1,136.669"
Private nonfarm,Idaho,All workers,Hours worked,Millions of hours,2021,"1,208.974"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2007,"9,103.526"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2008,"8,920.829"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2009,"8,433.163"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2010,"8,431.818"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2011,"8,573.563"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2012,"8,746.773"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2013,"8,765.551"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2014,"8,902.067"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2015,"9,062.324"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2016,"8,997.128"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2017,"9,073.554"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2018,"9,218.306"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2019,"9,145.810"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2020,"8,545.610"
Private nonfarm,Illinois,All workers,Hours worked,Millions of hours,2021,"8,799.619"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2007,"4,676.620"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2008,"4,495.105"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2009,"4,165.325"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2010,"4,233.951"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2011,"4,309.532"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2012,"4,343.936"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2013,"4,432.856"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2014,"4,525.103"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2015,"4,649.887"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2016,"4,684.082"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2017,"4,765.865"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2018,"4,790.514"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2019,"4,864.128"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2020,"4,595.132"
Private nonfarm,Indiana,All workers,Hours worked,Millions of hours,2021,"4,860.574"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2007,"2,291.459"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2008,"2,241.452"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2009,"2,137.353"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2010,"2,188.948"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2011,"2,195.573"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2012,"2,257.744"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2013,"2,286.032"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2014,"2,347.894"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2015,"2,367.041"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2016,"2,357.834"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2017,"2,359.232"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2018,"2,354.247"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2019,"2,378.999"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2020,"2,236.461"
Private nonfarm,Iowa,All workers,Hours worked,Millions of hours,2021,"2,287.081"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2007,"2,059.137"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2008,"2,087.325"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2009,"1,957.118"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2010,"1,913.744"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2011,"1,952.780"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2012,"2,007.928"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2013,"2,001.909"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2014,"2,023.728"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2015,"2,046.852"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2016,"2,000.572"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2017,"2,030.235"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2018,"2,034.406"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2019,"2,057.674"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2020,"1,937.252"
Private nonfarm,Kansas,All workers,Hours worked,Millions of hours,2021,"1,972.101"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2007,"2,985.955"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2008,"2,914.638"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2009,"2,679.947"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2010,"2,665.207"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2011,"2,657.183"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2012,"2,670.105"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2013,"2,674.773"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2014,"2,734.767"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2015,"2,836.507"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2016,"2,873.174"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2017,"2,905.745"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2018,"2,897.972"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2019,"2,917.108"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2020,"2,779.684"
Private nonfarm,Kentucky,All workers,Hours worked,Millions of hours,2021,"2,896.173"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2007,"2,975.112"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2008,"2,996.074"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2009,"2,894.770"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2010,"2,895.188"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2011,"2,881.407"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2012,"2,975.614"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2013,"2,998.835"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2014,"3,108.550"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2015,"3,082.842"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2016,"2,993.432"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2017,"3,054.511"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2018,"3,125.016"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2019,"3,121.591"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2020,"2,817.820"
Private nonfarm,Louisiana,All workers,Hours worked,Millions of hours,2021,"2,878.537"
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2007,971.893
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2008,963.845
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2009,902.757
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2010,906.127
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2011,907.862
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2012,924.881
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2013,931.075
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2014,926.403
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2015,974.080
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2016,976.044
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2017,983.711
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2018,989.760
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2019,983.205
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2020,904.565
Private nonfarm,Maine,All workers,Hours worked,Millions of hours,2021,957.065
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2007,"3,864.007"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2008,"3,814.351"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2009,"3,642.280"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2010,"3,574.197"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2011,"3,667.978"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2012,"3,661.269"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2013,"3,668.303"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2014,"3,716.906"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2015,"3,785.651"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2016,"3,834.600"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2017,"3,951.271"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2018,"4,036.256"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2019,"3,982.463"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2020,"3,659.881"
Private nonfarm,Maryland,All workers,Hours worked,Millions of hours,2021,"3,767.432"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2007,"5,040.240"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2008,"5,066.100"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2009,"4,829.781"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2010,"4,883.480"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2011,"4,912.749"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2012,"4,998.365"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2013,"5,040.126"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2014,"5,151.034"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2015,"5,235.769"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2016,"5,342.121"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2017,"5,432.515"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2018,"5,486.411"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2019,"5,535.658"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2020,"5,045.027"
Private nonfarm,Massachusetts,All workers,Hours worked,Millions of hours,2021,"5,298.286"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2007,"6,562.950"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2008,"6,203.843"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2009,"5,565.305"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2010,"5,624.684"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2011,"5,906.145"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2012,"6,036.743"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2013,"6,165.473"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2014,"6,283.521"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2015,"6,488.867"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2016,"6,604.400"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2017,"6,666.136"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2018,"6,773.438"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2019,"6,697.477"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2020,"5,995.625"
Private nonfarm,Michigan,All workers,Hours worked,Millions of hours,2021,"6,317.746"
Private nonfarm,Minnesota,All workers,Hours worked,Millions of hours,2007,"4,133.489"
