,Area,Measure,Units,Year,Value
34,Arizona,Hours worked,Millions of hours,2011,"3,773.207"
35,Arizona,Hours worked,Millions of hours,2012,"3,844.820"
36,Arizona,Hours worked,Millions of hours,2013,"3,915.421"
37,Arizona,Hours worked,Millions of hours,2014,"3,969.139"
38,Arizona,Hours worked,Millions of hours,2015,"4,133.559"
39,Arizona,Hours worked,Millions of hours,2016,"4,199.313"
40,Arizona,Hours worked,Millions of hours,2017,"4,362.743"
41,Arizona,Hours worked,Millions of hours,2018,"4,522.324"
42,Arizona,Hours worked,Millions of hours,2019,"4,619.904"
43,Arizona,Hours worked,Millions of hours,2020,"4,493.924"
44,Arizona,Hours worked,Millions of hours,2021,"4,663.462"
45,Arkansas,Hours worked,Millions of hours,2007,"1,837.477"
46,Arkansas,Hours worked,Millions of hours,2008,"1,836.866"
47,Arkansas,Hours worked,Millions of hours,2009,"1,720.544"
48,Arkansas,Hours worked,Millions of hours,2010,"1,713.362"
49,Arkansas,Hours worked,Millions of hours,2011,"1,754.211"
50,Arkansas,Hours worked,Millions of hours,2012,"1,757.286"
51,Arkansas,Hours worked,Millions of hours,2013,"1,739.377"
52,Arkansas,Hours worked,Millions of hours,2014,"1,754.290"
53,Arkansas,Hours worked,Millions of hours,2015,"1,785.401"
54,Arkansas,Hours worked,Millions of hours,2016,"1,811.700"
55,Arkansas,Hours worked,Millions of hours,2017,"1,868.708"
56,Arkansas,Hours worked,Millions of hours,2018,"1,896.015"
57,Arkansas,Hours worked,Millions of hours,2019,"1,917.970"
58,Arkansas,Hours worked,Millions of hours,2020,"1,835.452"
59,Arkansas,Hours worked,Millions of hours,2021,"1,940.210"
60,California,Hours worked,Millions of hours,2007,"25,100.352"
61,California,Hours worked,Millions of hours,2008,"24,276.289"
62,California,Hours worked,Millions of hours,2009,"22,379.946"
63,California,Hours worked,Millions of hours,2010,"22,332.549"
64,California,Hours worked,Millions of hours,2011,"22,780.785"
65,California,Hours worked,Millions of hours,2012,"23,347.916"
66,California,Hours worked,Millions of hours,2013,"24,192.767"
67,California,Hours worked,Millions of hours,2014,"24,907.289"
68,California,Hours worked,Millions of hours,2015,"25,691.855"
69,California,Hours worked,Millions of hours,2016,"26,262.867"
70,California,Hours worked,Millions of hours,2017,"26,867.506"
71,California,Hours worked,Millions of hours,2018,"27,540.370"
72,California,Hours worked,Millions of hours,2019,"27,479.218"
73,California,Hours worked,Millions of hours,2020,"25,084.462"
74,California,Hours worked,Millions of hours,2021,"26,422.574"
75,Colorado,Hours worked,Millions of hours,2007,"3,673.313"
76,Colorado,Hours worked,Millions of hours,2008,"3,672.508"
77,Colorado,Hours worked,Millions of hours,2009,"3,387.571"
78,Colorado,Hours worked,Millions of hours,2010,"3,349.267"
79,Colorado,Hours worked,Millions of hours,2011,"3,425.386"
80,Colorado,Hours worked,Millions of hours,2012,"3,546.919"
81,Colorado,Hours worked,Millions of hours,2013,"3,634.266"
82,Colorado,Hours worked,Millions of hours,2014,"3,723.957"
83,Colorado,Hours worked,Millions of hours,2015,"3,772.782"
84,Colorado,Hours worked,Millions of hours,2016,"3,824.261"
85,Colorado,Hours worked,Millions of hours,2017,"3,902.861"
86,Colorado,Hours worked,Millions of hours,2018,"4,049.827"
87,Colorado,Hours worked,Millions of hours,2019,"4,072.495"
88,Colorado,Hours worked,Millions of hours,2020,"3,849.613"
89,Colorado,Hours worked,Millions of hours,2021,"4,064.907"
90,Connecticut,Hours worked,Millions of hours,2007,"2,629.768"
91,Connecticut,Hours worked,Millions of hours,2008,"2,571.184"
92,Connecticut,Hours worked,Millions of hours,2009,"2,406.655"
93,Connecticut,Hours worked,Millions of hours,2010,"2,407.037"
94,Connecticut,Hours worked,Millions of hours,2011,"2,478.442"
95,Connecticut,Hours worked,Millions of hours,2012,"2,526.278"
96,Connecticut,Hours worked,Millions of hours,2013,"2,483.673"
97,Connecticut,Hours worked,Millions of hours,2014,"2,524.887"
98,Connecticut,Hours worked,Millions of hours,2015,"2,534.422"
99,Connecticut,Hours worked,Millions of hours,2016,"2,594.188"
100,Connecticut,Hours worked,Millions of hours,2017,"2,544.033"
101,Connecticut,Hours worked,Millions of hours,2018,"2,593.377"
102,Connecticut,Hours worked,Millions of hours,2019,"2,572.339"
103,Connecticut,Hours worked,Millions of hours,2020,"2,426.493"
104,Connecticut,Hours worked,Millions of hours,2021,"2,511.456"
105,Delaware,Hours worked,Millions of hours,2007,663.765
106,Delaware,Hours worked,Millions of hours,2008,649.312
107,Delaware,Hours worked,Millions of hours,2009,591.647
108,Delaware,Hours worked,Millions of hours,2010,578.474
109,Delaware,Hours worked,Millions of hours,2011,599.232
110,Delaware,Hours worked,Millions of hours,2012,606.056
111,Delaware,Hours worked,Millions of hours,2013,611.073
112,Delaware,Hours worked,Millions of hours,2014,625.618
113,Delaware,Hours worked,Millions of hours,2015,644.750
114,Delaware,Hours worked,Millions of hours,2016,656.747
115,Delaware,Hours worked,Millions of hours,2017,651.230
116,Delaware,Hours worked,Millions of hours,2018,662.959
117,Delaware,Hours worked,Millions of hours,2019,667.867
118,Delaware,Hours worked,Millions of hours,2020,608.344
119,Delaware,Hours worked,Millions of hours,2021,639.870
120,District of Columbia,Hours worked,Millions of hours,2007,845.542
121,District of Columbia,Hours worked,Millions of hours,2008,837.869
122,District of Columbia,Hours worked,Millions of hours,2009,835.912
123,District of Columbia,Hours worked,Millions of hours,2010,820.657
124,District of Columbia,Hours worked,Millions of hours,2011,848.590
125,District of Columbia,Hours worked,Millions of hours,2012,871.277
126,District of Columbia,Hours worked,Millions of hours,2013,899.538
127,District of Columbia,Hours worked,Millions of hours,2014,920.304
128,District of Columbia,Hours worked,Millions of hours,2015,925.428
129,District of Columbia,Hours worked,Millions of hours,2016,947.706
130,District of Columbia,Hours worked,Millions of hours,2017,956.693
131,District of Columbia,Hours worked,Millions of hours,2018,968.202
132,District of Columbia,Hours worked,Millions of hours,2019,983.289
133,District of Columbia,Hours worked,Millions of hours,2020,892.731
134,District of Columbia,Hours worked,Millions of hours,2021,883.998
135,Florida,Hours worked,Millions of hours,2007,"12,827.333"
136,Florida,Hours worked,Millions of hours,2008,"12,129.317"
137,Florida,Hours worked,Millions of hours,2009,"11,239.122"
138,Florida,Hours worked,Millions of hours,2010,"11,248.163"
139,Florida,Hours worked,Millions of hours,2011,"11,206.454"
140,Florida,Hours worked,Millions of hours,2012,"11,337.087"
141,Florida,Hours worked,Millions of hours,2013,"11,803.500"
142,Florida,Hours worked,Millions of hours,2014,"12,235.769"
143,Florida,Hours worked,Millions of hours,2015,"12,613.926"
144,Florida,Hours worked,Millions of hours,2016,"12,960.099"
145,Florida,Hours worked,Millions of hours,2017,"13,267.073"
146,Florida,Hours worked,Millions of hours,2018,"13,938.736"
147,Florida,Hours worked,Millions of hours,2019,"14,012.725"
148,Florida,Hours worked,Millions of hours,2020,"13,077.435"
149,Florida,Hours worked,Millions of hours,2021,"14,270.111"
150,Georgia,Hours worked,Millions of hours,2007,"6,492.891"
151,Georgia,Hours worked,Millions of hours,2008,"6,316.491"
152,Georgia,Hours worked,Millions of hours,2009,"5,832.288"
153,Georgia,Hours worked,Millions of hours,2010,"5,743.520"
154,Georgia,Hours worked,Millions of hours,2011,"5,845.105"
155,Georgia,Hours worked,Millions of hours,2012,"6,018.924"
156,Georgia,Hours worked,Millions of hours,2013,"6,088.217"
157,Georgia,Hours worked,Millions of hours,2014,"6,344.810"
158,Georgia,Hours worked,Millions of hours,2015,"6,492.877"
159,Georgia,Hours worked,Millions of hours,2016,"6,661.306"
160,Georgia,Hours worked,Millions of hours,2017,"6,830.328"
161,Georgia,Hours worked,Millions of hours,2018,"6,927.042"
162,Georgia,Hours worked,Millions of hours,2019,"7,041.943"
163,Georgia,Hours worked,Millions of hours,2020,"6,602.137"
164,Georgia,Hours worked,Millions of hours,2021,"7,073.740"
165,Hawaii,Hours worked,Millions of hours,2007,889.797
166,Hawaii,Hours worked,Millions of hours,2008,885.161
167,Hawaii,Hours worked,Millions of hours,2009,821.556
168,Hawaii,Hours worked,Millions of hours,2010,827.376
169,Hawaii,Hours worked,Millions of hours,2011,839.778
170,Hawaii,Hours worked,Millions of hours,2012,886.562
171,Hawaii,Hours worked,Millions of hours,2013,880.499
172,Hawaii,Hours worked,Millions of hours,2014,913.735
173,Hawaii,Hours worked,Millions of hours,2015,916.596
174,Hawaii,Hours worked,Millions of hours,2016,917.075
175,Hawaii,Hours worked,Millions of hours,2017,920.102
176,Hawaii,Hours worked,Millions of hours,2018,924.543
177,Hawaii,Hours worked,Millions of hours,2019,920.187
178,Hawaii,Hours worked,Millions of hours,2020,758.150
179,Hawaii,Hours worked,Millions of hours,2021,816.372
180,Idaho,Hours worked,Millions of hours,2007,"1,026.068"
181,Idaho,Hours worked,Millions of hours,2008,989.708
182,Idaho,Hours worked,Millions of hours,2009,892.631
183,Idaho,Hours worked,Millions of hours,2010,891.088
184,Idaho,Hours worked,Millions of hours,2011,916.492
185,Idaho,Hours worked,Millions of hours,2012,914.175
186,Idaho,Hours worked,Millions of hours,2013,922.541
187,Idaho,Hours worked,Millions of hours,2014,955.183
188,Idaho,Hours worked,Millions of hours,2015,995.993
189,Idaho,Hours worked,Millions of hours,2016,"1,006.015"
190,Idaho,Hours worked,Millions of hours,2017,"1,063.296"
191,Idaho,Hours worked,Millions of hours,2018,"1,104.437"
192,Idaho,Hours worked,Millions of hours,2019,"1,123.900"
193,Idaho,Hours worked,Millions of hours,2020,"1,136.669"
194,Idaho,Hours worked,Millions of hours,2021,"1,208.974"
195,Illinois,Hours worked,Millions of hours,2007,"9,103.526"
196,Illinois,Hours worked,Millions of hours,2008,"8,920.829"
197,Illinois,Hours worked,Millions of hours,2009,"8,433.163"
198,Illinois,Hours worked,Millions of hours,2010,"8,431.818"
199,Illinois,Hours worked,Millions of hours,2011,"8,573.563"
200,Illinois,Hours worked,Millions of hours,2012,"8,746.773"
201,Illinois,Hours worked,Millions of hours,2013,"8,765.551"
202,Illinois,Hours worked,Millions of hours,2014,"8,902.067"
203,Illinois,Hours worked,Millions of hours,2015,"9,062.324"
204,Illinois,Hours worked,Millions of hours,2016,"8,997.128"
205,Illinois,Hours worked,Millions of hours,2017,"9,073.554"
206,Illinois,Hours worked,Millions of hours,2018,"9,218.306"
207,Illinois,Hours worked,Millions of hours,2019,"9,145.810"
208,Illinois,Hours worked,Millions of hours,2020,"8,545.610"
209,Illinois,Hours worked,Millions of hours,2021,"8,799.619"
210,Indiana,Hours worked,Millions of hours,2007,"4,676.620"
211,Indiana,Hours worked,Millions of hours,2008,"4,495.105"
212,Indiana,Hours worked,Millions of hours,2009,"4,165.325"
213,Indiana,Hours worked,Millions of hours,2010,"4,233.951"
214,Indiana,Hours worked,Millions of hours,2011,"4,309.532"
215,Indiana,Hours worked,Millions of hours,2012,"4,343.936"
216,Indiana,Hours worked,Millions of hours,2013,"4,432.856"
217,Indiana,Hours worked,Millions of hours,2014,"4,525.103"
218,Indiana,Hours worked,Millions of hours,2015,"4,649.887"
219,Indiana,Hours worked,Millions of hours,2016,"4,684.082"
220,Indiana,Hours worked,Millions of hours,2017,"4,765.865"
221,Indiana,Hours worked,Millions of hours,2018,"4,790.514"
222,Indiana,Hours worked,Millions of hours,2019,"4,864.128"
223,Indiana,Hours worked,Millions of hours,2020,"4,595.132"
224,Indiana,Hours worked,Millions of hours,2021,"4,860.574"
225,Iowa,Hours worked,Millions of hours,2007,"2,291.459"
226,Iowa,Hours worked,Millions of hours,2008,"2,241.452"
227,Iowa,Hours worked,Millions of hours,2009,"2,137.353"
228,Iowa,Hours worked,Millions of hours,2010,"2,188.948"
229,Iowa,Hours worked,Millions of hours,2011,"2,195.573"
230,Iowa,Hours worked,Millions of hours,2012,"2,257.744"
231,Iowa,Hours worked,Millions of hours,2013,"2,286.032"
232,Iowa,Hours worked,Millions of hours,2014,"2,347.894"
233,Iowa,Hours worked,Millions of hours,2015,"2,367.041"
234,Iowa,Hours worked,Millions of hours,2016,"2,357.834"
235,Iowa,Hours worked,Millions of hours,2017,"2,359.232"
236,Iowa,Hours worked,Millions of hours,2018,"2,354.247"
237,Iowa,Hours worked,Millions of hours,2019,"2,378.999"
238,Iowa,Hours worked,Millions of hours,2020,"2,236.461"
239,Iowa,Hours worked,Millions of hours,2021,"2,287.081"
240,Kansas,Hours worked,Millions of hours,2007,"2,059.137"
241,Kansas,Hours worked,Millions of hours,2008,"2,087.325"
242,Kansas,Hours worked,Millions of hours,2009,"1,957.118"
243,Kansas,Hours worked,Millions of hours,2010,"1,913.744"
244,Kansas,Hours worked,Millions of hours,2011,"1,952.780"
245,Kansas,Hours worked,Millions of hours,2012,"2,007.928"
246,Kansas,Hours worked,Millions of hours,2013,"2,001.909"
247,Kansas,Hours worked,Millions of hours,2014,"2,023.728"
248,Kansas,Hours worked,Millions of hours,2015,"2,046.852"
249,Kansas,Hours worked,Millions of hours,2016,"2,000.572"
250,Kansas,Hours worked,Millions of hours,2017,"2,030.235"
251,Kansas,Hours worked,Millions of hours,2018,"2,034.406"
252,Kansas,Hours worked,Millions of hours,2019,"2,057.674"
253,Kansas,Hours worked,Millions of hours,2020,"1,937.252"
254,Kansas,Hours worked,Millions of hours,2021,"1,972.101"
255,Kentucky,Hours worked,Millions of hours,2007,"2,985.955"
256,Kentucky,Hours worked,Millions of hours,2008,"2,914.638"
257,Kentucky,Hours worked,Millions of hours,2009,"2,679.947"
258,Kentucky,Hours worked,Millions of hours,2010,"2,665.207"
259,Kentucky,Hours worked,Millions of hours,2011,"2,657.183"
260,Kentucky,Hours worked,Millions of hours,2012,"2,670.105"
261,Kentucky,Hours worked,Millions of hours,2013,"2,674.773"
262,Kentucky,Hours worked,Millions of hours,2014,"2,734.767"
263,Kentucky,Hours worked,Millions of hours,2015,"2,836.507"
264,Kentucky,Hours worked,Millions of hours,2016,"2,873.174"
265,Kentucky,Hours worked,Millions of hours,2017,"2,905.745"
266,Kentucky,Hours worked,Millions of hours,2018,"2,897.972"
267,Kentucky,Hours worked,Millions of hours,2019,"2,917.108"
268,Kentucky,Hours worked,Millions of hours,2020,"2,779.684"
269,Kentucky,Hours worked,Millions of hours,2021,"2,896.173"
270,Louisiana,Hours worked,Millions of hours,2007,"2,975.112"
271,Louisiana,Hours worked,Millions of hours,2008,"2,996.074"
272,Louisiana,Hours worked,Millions of hours,2009,"2,894.770"
273,Louisiana,Hours worked,Millions of hours,2010,"2,895.188"
274,Louisiana,Hours worked,Millions of hours,2011,"2,881.407"
275,Louisiana,Hours worked,Millions of hours,2012,"2,975.614"
276,Louisiana,Hours worked,Millions of hours,2013,"2,998.835"
277,Louisiana,Hours worked,Millions of hours,2014,"3,108.550"
278,Louisiana,Hours worked,Millions of hours,2015,"3,082.842"
279,Louisiana,Hours worked,Millions of hours,2016,"2,993.432"
280,Louisiana,Hours worked,Millions of hours,2017,"3,054.511"
281,Louisiana,Hours worked,Millions of hours,2018,"3,125.016"
282,Louisiana,Hours worked,Millions of hours,2019,"3,121.591"
283,Louisiana,Hours worked,Millions of hours,2020,"2,817.820"
284,Louisiana,Hours worked,Millions of hours,2021,"2,878.537"
285,Maine,Hours worked,Millions of hours,2007,971.893
286,Maine,Hours worked,Millions of hours,2008,963.845
287,Maine,Hours worked,Millions of hours,2009,902.757
288,Maine,Hours worked,Millions of hours,2010,906.127
289,Maine,Hours worked,Millions of hours,2011,907.862
290,Maine,Hours worked,Millions of hours,2012,924.881
291,Maine,Hours worked,Millions of hours,2013,931.075
292,Maine,Hours worked,Millions of hours,2014,926.403
293,Maine,Hours worked,Millions of hours,2015,974.080
294,Maine,Hours worked,Millions of hours,2016,976.044
295,Maine,Hours worked,Millions of hours,2017,983.711
296,Maine,Hours worked,Millions of hours,2018,989.760
297,Maine,Hours worked,Millions of hours,2019,983.205
298,Maine,Hours worked,Millions of hours,2020,904.565
299,Maine,Hours worked,Millions of hours,2021,957.065
300,Maryland,Hours worked,Millions of hours,2007,"3,864.007"
301,Maryland,Hours worked,Millions of hours,2008,"3,814.351"
302,Maryland,Hours worked,Millions of hours,2009,"3,642.280"
303,Maryland,Hours worked,Millions of hours,2010,"3,574.197"
304,Maryland,Hours worked,Millions of hours,2011,"3,667.978"
305,Maryland,Hours worked,Millions of hours,2012,"3,661.269"
306,Maryland,Hours worked,Millions of hours,2013,"3,668.303"
307,Maryland,Hours worked,Millions of hours,2014,"3,716.906"
308,Maryland,Hours worked,Millions of hours,2015,"3,785.651"
309,Maryland,Hours worked,Millions of hours,2016,"3,834.600"
310,Maryland,Hours worked,Millions of hours,2017,"3,951.271"
311,Maryland,Hours worked,Millions of hours,2018,"4,036.256"
312,Maryland,Hours worked,Millions of hours,2019,"3,982.463"
313,Maryland,Hours worked,Millions of hours,2020,"3,659.881"
314,Maryland,Hours worked,Millions of hours,2021,"3,767.432"
315,Massachusetts,Hours worked,Millions of hours,2007,"5,040.240"
316,Massachusetts,Hours worked,Millions of hours,2008,"5,066.100"
317,Massachusetts,Hours worked,Millions of hours,2009,"4,829.781"
318,Massachusetts,Hours worked,Millions of hours,2010,"4,883.480"
319,Massachusetts,Hours worked,Millions of hours,2011,"4,912.749"
320,Massachusetts,Hours worked,Millions of hours,2012,"4,998.365"
321,Massachusetts,Hours worked,Millions of hours,2013,"5,040.126"
322,Massachusetts,Hours worked,Millions of hours,2014,"5,151.034"
323,Massachusetts,Hours worked,Millions of hours,2015,"5,235.769"
324,Massachusetts,Hours worked,Millions of hours,2016,"5,342.121"
325,Massachusetts,Hours worked,Millions of hours,2017,"5,432.515"
326,Massachusetts,Hours worked,Millions of hours,2018,"5,486.411"
327,Massachusetts,Hours worked,Millions of hours,2019,"5,535.658"
328,Massachusetts,Hours worked,Millions of hours,2020,"5,045.027"
329,Massachusetts,Hours worked,Millions of hours,2021,"5,298.286"
330,Michigan,Hours worked,Millions of hours,2007,"6,562.950"
331,Michigan,Hours worked,Millions of hours,2008,"6,203.843"
332,Michigan,Hours worked,Millions of hours,2009,"5,565.305"
333,Michigan,Hours worked,Millions of hours,2010,"5,624.684"
334,Michigan,Hours worked,Millions of hours,2011,"5,906.145"
335,Michigan,Hours worked,Millions of hours,2012,"6,036.743"
336,Michigan,Hours worked,Millions of hours,2013,"6,165.473"
337,Michigan,Hours worked,Millions of hours,2014,"6,283.521"
338,Michigan,Hours worked,Millions of hours,2015,"6,488.867"
339,Michigan,Hours worked,Millions of hours,2016,"6,604.400"
340,Michigan,Hours worked,Millions of hours,2017,"6,666.136"
341,Michigan,Hours worked,Millions of hours,2018,"6,773.438"
342,Michigan,Hours worked,Millions of hours,2019,"6,697.477"
343,Michigan,Hours worked,Millions of hours,2020,"5,995.625"
344,Michigan,Hours worked,Millions of hours,2021,"6,317.746"
345,Minnesota,Hours worked,Millions of hours,2007,"4,133.489"
346,Minnesota,Hours worked,Millions of hours,2008,"4,067.375"
347,Minnesota,Hours worked,Millions of hours,2009,"3,767.645"
348,Minnesota,Hours worked,Millions of hours,2010,"3,802.482"
349,Minnesota,Hours worked,Millions of hours,2011,"3,915.696"
350,Minnesota,Hours worked,Millions of hours,2012,"3,995.336"
351,Minnesota,Hours worked,Millions of hours,2013,"4,055.274"
352,Minnesota,Hours worked,Millions of hours,2014,"4,165.749"
353,Minnesota,Hours worked,Millions of hours,2015,"4,268.128"
354,Minnesota,Hours worked,Millions of hours,2016,"4,330.269"
355,Minnesota,Hours worked,Millions of hours,2017,"4,394.321"
356,Minnesota,Hours worked,Millions of hours,2018,"4,405.578"
357,Minnesota,Hours worked,Millions of hours,2019,"4,437.054"
358,Minnesota,Hours worked,Millions of hours,2020,"4,198.729"
359,Minnesota,Hours worked,Millions of hours,2021,"4,318.174"
360,Mississippi,Hours worked,Millions of hours,2007,"1,730.715"
361,Mississippi,Hours worked,Millions of hours,2008,"1,685.642"
362,Mississippi,Hours worked,Millions of hours,2009,"1,592.305"
363,Mississippi,Hours worked,Millions of hours,2010,"1,598.967"
364,Mississippi,Hours worked,Millions of hours,2011,"1,583.417"
365,Mississippi,Hours worked,Millions of hours,2012,"1,601.273"
366,Mississippi,Hours worked,Millions of hours,2013,"1,609.453"
367,Mississippi,Hours worked,Millions of hours,2014,"1,632.372"
368,Mississippi,Hours worked,Millions of hours,2015,"1,636.299"
369,Mississippi,Hours worked,Millions of hours,2016,"1,625.543"
370,Mississippi,Hours worked,Millions of hours,2017,"1,658.812"
371,Mississippi,Hours worked,Millions of hours,2018,"1,666.380"
372,Mississippi,Hours worked,Millions of hours,2019,"1,673.897"
373,Mississippi,Hours worked,Millions of hours,2020,"1,585.227"
374,Mississippi,Hours worked,Millions of hours,2021,"1,618.716"
375,Missouri,Hours worked,Millions of hours,2007,"4,345.754"
376,Missouri,Hours worked,Millions of hours,2008,"4,269.666"
377,Missouri,Hours worked,Millions of hours,2009,"3,943.695"
378,Missouri,Hours worked,Millions of hours,2010,"3,912.397"
379,Missouri,Hours worked,Millions of hours,2011,"4,032.453"
380,Missouri,Hours worked,Millions of hours,2012,"4,053.138"
381,Missouri,Hours worked,Millions of hours,2013,"4,081.299"
382,Missouri,Hours worked,Millions of hours,2014,"4,096.162"
383,Missouri,Hours worked,Millions of hours,2015,"4,183.076"
384,Missouri,Hours worked,Millions of hours,2016,"4,170.988"
385,Missouri,Hours worked,Millions of hours,2017,"4,217.239"
386,Missouri,Hours worked,Millions of hours,2018,"4,266.804"
387,Missouri,Hours worked,Millions of hours,2019,"4,320.882"
388,Missouri,Hours worked,Millions of hours,2020,"4,065.452"
389,Missouri,Hours worked,Millions of hours,2021,"4,163.691"
390,Montana,Hours worked,Millions of hours,2007,701.203
391,Montana,Hours worked,Millions of hours,2008,638.438
392,Montana,Hours worked,Millions of hours,2009,579.966
393,Montana,Hours worked,Millions of hours,2010,606.333
394,Montana,Hours worked,Millions of hours,2011,619.922
395,Montana,Hours worked,Millions of hours,2012,642.849
396,Montana,Hours worked,Millions of hours,2013,644.499
397,Montana,Hours worked,Millions of hours,2014,645.434
398,Montana,Hours worked,Millions of hours,2015,657.047
399,Montana,Hours worked,Millions of hours,2016,668.951
400,Montana,Hours worked,Millions of hours,2017,669.060
401,Montana,Hours worked,Millions of hours,2018,689.204
402,Montana,Hours worked,Millions of hours,2019,691.991
403,Montana,Hours worked,Millions of hours,2020,668.007
404,Montana,Hours worked,Millions of hours,2021,710.287
405,Nebraska,Hours worked,Millions of hours,2007,"1,430.323"
406,Nebraska,Hours worked,Millions of hours,2008,"1,449.717"
407,Nebraska,Hours worked,Millions of hours,2009,"1,388.627"
408,Nebraska,Hours worked,Millions of hours,2010,"1,394.775"
409,Nebraska,Hours worked,Millions of hours,2011,"1,406.607"
410,Nebraska,Hours worked,Millions of hours,2012,"1,431.951"
411,Nebraska,Hours worked,Millions of hours,2013,"1,461.463"
412,Nebraska,Hours worked,Millions of hours,2014,"1,455.429"
413,Nebraska,Hours worked,Millions of hours,2015,"1,463.332"
414,Nebraska,Hours worked,Millions of hours,2016,"1,461.033"
415,Nebraska,Hours worked,Millions of hours,2017,"1,510.023"
416,Nebraska,Hours worked,Millions of hours,2018,"1,503.215"
417,Nebraska,Hours worked,Millions of hours,2019,"1,486.284"
418,Nebraska,Hours worked,Millions of hours,2020,"1,417.723"
419,Nebraska,Hours worked,Millions of hours,2021,"1,455.606"
420,Nevada,Hours worked,Millions of hours,2007,"2,184.012"
421,Nevada,Hours worked,Millions of hours,2008,"2,130.556"
422,Nevada,Hours worked,Millions of hours,2009,"1,837.029"
423,Nevada,Hours worked,Millions of hours,2010,"1,733.169"
424,Nevada,Hours worked,Millions of hours,2011,"1,754.707"
425,Nevada,Hours worked,Millions of hours,2012,"1,762.989"
426,Nevada,Hours worked,Millions of hours,2013,"1,774.251"
427,Nevada,Hours worked,Millions of hours,2014,"1,829.550"
428,Nevada,Hours worked,Millions of hours,2015,"1,921.183"
429,Nevada,Hours worked,Millions of hours,2016,"2,002.357"
430,Nevada,Hours worked,Millions of hours,2017,"2,079.611"
431,Nevada,Hours worked,Millions of hours,2018,"2,151.680"
432,Nevada,Hours worked,Millions of hours,2019,"2,255.189"
433,Nevada,Hours worked,Millions of hours,2020,"1,986.603"
434,Nevada,Hours worked,Millions of hours,2021,"2,181.240"
435,New Hampshire,Hours worked,Millions of hours,2007,990.681
436,New Hampshire,Hours worked,Millions of hours,2008,968.343
437,New Hampshire,Hours worked,Millions of hours,2009,924.414
438,New Hampshire,Hours worked,Millions of hours,2010,938.205
439,New Hampshire,Hours worked,Millions of hours,2011,949.792
440,New Hampshire,Hours worked,Millions of hours,2012,960.705
441,New Hampshire,Hours worked,Millions of hours,2013,987.365
442,New Hampshire,Hours worked,Millions of hours,2014,987.029
443,New Hampshire,Hours worked,Millions of hours,2015,"1,008.783"
444,New Hampshire,Hours worked,Millions of hours,2016,"1,025.741"
445,New Hampshire,Hours worked,Millions of hours,2017,"1,036.937"
446,New Hampshire,Hours worked,Millions of hours,2018,"1,044.681"
447,New Hampshire,Hours worked,Millions of hours,2019,"1,044.246"
448,New Hampshire,Hours worked,Millions of hours,2020,974.968
449,New Hampshire,Hours worked,Millions of hours,2021,"1,013.370"
450,New Jersey,Hours worked,Millions of hours,2007,"6,022.778"
451,New Jersey,Hours worked,Millions of hours,2008,"5,946.838"
452,New Jersey,Hours worked,Millions of hours,2009,"5,639.002"
453,New Jersey,Hours worked,Millions of hours,2010,"5,565.849"
454,New Jersey,Hours worked,Millions of hours,2011,"5,616.388"
455,New Jersey,Hours worked,Millions of hours,2012,"5,694.116"
456,New Jersey,Hours worked,Millions of hours,2013,"5,676.395"
457,New Jersey,Hours worked,Millions of hours,2014,"5,767.633"
458,New Jersey,Hours worked,Millions of hours,2015,"5,907.345"
459,New Jersey,Hours worked,Millions of hours,2016,"6,032.513"
