,State,Median AQI,Year,Measure,Value,Population,per_capita
27,Nevada,32.6,2010,Hours worked,1733.169,2702405,641.3431739506107
28,New Hampshire,38.3,2010,Hours worked,938.205,1316762,712.5091702221055
29,New Jersey,40.8,2010,Hours worked,5565.849,8799446,632.5226610857093
30,New Mexico,30.3,2010,Hours worked,1117.354,2064552,541.2089402446633
31,New York,37.1,2010,Hours worked,12411.384,19399878,639.7660851269271
32,North Carolina,44.1,2010,Hours worked,5647.039,9574323,589.8107887105961
33,North Dakota,34.4,2010,Hours worked,510.189,674715,756.1548209243903
34,Ohio,46.4,2010,Hours worked,7390.831,11539336,640.4901460534644
35,Oklahoma,40.2,2010,Hours worked,2269.964,3759944,603.7228214037231
36,Oregon,25.4,2010,Hours worked,2404.388,3837491,626.5520883306306
37,Pennsylvania,45.2,2010,Hours worked,8422.209,12711160,662.5838239782995
38,Rhode Island,39.3,2010,Hours worked,700.108,1053959,664.2649287116482
39,South Carolina,40.8,2010,Hours worked,2662.486,4635649,574.3502150400084
40,South Dakota,34.7,2010,Hours worked,585.327,816166,717.1666058130331
41,Tennessee,41.3,2010,Hours worked,4098.968,6355311,644.9673351941392
42,Texas,38.2,2010,Hours worked,16125.772,25241971,638.8475765224514
43,Utah,41.6,2010,Hours worked,1785.892,2775332,643.4876980483776
44,Vermont,34.3,2010,Hours worked,451.036,625879,720.6440861572285
45,Virginia,36.1,2010,Hours worked,5381.05,8023699,670.64454935311
46,Washington,23.8,2010,Hours worked,4171.189,6742830,618.6110283071056
47,West Virginia,43.3,2010,Hours worked,1007.732,1854239,543.4747084922709
48,Wisconsin,37.9,2010,Hours worked,3926.362,5690475,689.9884456042773
49,Wyoming,32.1,2010,Hours worked,407.412,564487,721.7384988493977
50,Alabama,42.8,2011,Hours worked,2738.003,4799069,570.5279503170302
51,Alaska,22.4,2011,Hours worked,487.658,722128,675.306870804068
52,Arizona,45.8,2011,Hours worked,3773.207,6472643,582.946873479659
53,Arkansas,42.8,2011,Hours worked,1754.211,2940667,596.535071805138
54,California,49.4,2011,Hours worked,22780.785,37638369,605.2543084425364
55,Colorado,38.8,2011,Hours worked,3425.386,5121108,668.875954188039
56,Connecticut,39.5,2011,Hours worked,2478.442,3588283,690.7041612938556
57,Delaware,44.0,2011,Hours worked,599.232,907381,660.3973413593628
58,Florida,38.7,2011,Hours worked,11206.454,19053237,588.1653600382969
59,Georgia,46.7,2011,Hours worked,5845.105,9802431,596.291368947152
60,Hawaii,32.2,2011,Hours worked,839.778,1379329,608.8308155632195
61,Idaho,25.4,2011,Hours worked,916.492,1583910,578.6263108383683
62,Illinois,40.7,2011,Hours worked,8573.563,12867454,666.2983213306999
63,Indiana,45.7,2011,Hours worked,4309.532,6516528,661.323330460638
64,Iowa,41.2,2011,Hours worked,2195.573,3066336,716.0249235569748
65,Kansas,35.4,2011,Hours worked,1952.78,2869225,680.5949341721197
66,Kentucky,42.2,2011,Hours worked,2657.183,4369821,608.0759372065812
67,Louisiana,42.3,2011,Hours worked,2881.407,4575625,629.7297090561399
68,Maine,33.1,2011,Hours worked,907.862,1328284,683.4848571540424
69,Maryland,45.3,2011,Hours worked,3667.978,5839419,628.1409160740135
70,Massachusetts,40.1,2011,Hours worked,4912.749,6613583,742.827148309774
71,Michigan,37.7,2011,Hours worked,5906.145,9882412,597.6420533772524
72,Minnesota,34.0,2011,Hours worked,3915.696,5346143,732.4338312686361
73,Mississippi,43.4,2011,Hours worked,1583.417,2978731,531.5743516282605
74,Missouri,45.0,2011,Hours worked,4032.453,6010275,670.9265383031559
75,Montana,27.5,2011,Hours worked,619.922,997316,621.5903484953616
76,Nebraska,30.3,2011,Hours worked,1406.607,1840672,764.1812338102606
77,Nevada,33.0,2011,Hours worked,1754.707,2712730,646.8417424513314
78,New Hampshire,39.1,2011,Hours worked,949.792,1320202,719.4292994556894
79,New Jersey,41.4,2011,Hours worked,5616.388,8828117,636.193199523749
80,New Mexico,32.6,2011,Hours worked,1133.296,2080450,544.7359946165493
81,New York,37.5,2011,Hours worked,12670.741,19499241,649.8068822268518
82,North Carolina,43.7,2011,Hours worked,5797.335,9657592,600.28783572551
83,North Dakota,36.6,2011,Hours worked,571.468,685225,833.9859170345507
84,Ohio,42.6,2011,Hours worked,7579.232,11544663,656.5139233600843
85,Oklahoma,45.3,2011,Hours worked,2268.371,3788379,598.7708727136329
86,Oregon,25.8,2011,Hours worked,2441.317,3872036,630.4995614710194
87,Pennsylvania,44.4,2011,Hours worked,8560.111,12745815,671.6016982829267
88,Rhode Island,40.0,2011,Hours worked,686.551,1053649,651.5936521555091
89,South Carolina,42.9,2011,Hours worked,2686.582,4671994,575.0396939722098
90,South Dakota,33.9,2011,Hours worked,596.825,823579,724.6724357954731
91,Tennessee,40.2,2011,Hours worked,4182.756,6399291,653.6280347307226
92,Texas,41.5,2011,Hours worked,16960.403,25645629,661.3369865094749
93,Utah,41.8,2011,Hours worked,1782.563,2814384,633.3759003746468
94,Vermont,31.0,2011,Hours worked,455.572,627049,726.5333331206971
95,Virginia,33.3,2011,Hours worked,5435.662,8101155,670.9737068356302
96,Washington,24.3,2011,Hours worked,4267.925,6826627,625.1879588558156
97,West Virginia,39.4,2011,Hours worked,1019.177,1856301,549.0364978524495
98,Wisconsin,37.4,2011,Hours worked,4013.622,5705288,703.4915678226936
99,Wyoming,34.2,2011,Hours worked,411.802,567299,725.8993934415538
100,Alabama,40.1,2012,Hours worked,2833.266,4815588,588.3530733941525
101,Alaska,22.0,2012,Hours worked,482.361,730443,660.3677494342475
102,Arizona,46.6,2012,Hours worked,3844.82,6554978,586.5496421193176
103,Arkansas,40.9,2012,Hours worked,1757.286,2952164,595.2535157260911
104,California,48.7,2012,Hours worked,23347.916,37948800,615.2478075723079
105,Colorado,40.3,2012,Hours worked,3546.919,5192647,683.0656888480962
106,Connecticut,42.4,2012,Hours worked,2526.278,3594547,702.8084484637425
107,Delaware,43.3,2012,Hours worked,606.056,915179,662.2267337865052
108,Florida,36.9,2012,Hours worked,11337.087,19297822,587.4801311774977
109,Georgia,43.0,2012,Hours worked,6018.924,9901430,607.8843156998535
110,Hawaii,36.2,2012,Hours worked,886.562,1394804,635.6176208270123
111,Idaho,24.6,2012,Hours worked,914.175,1595324,573.0340670609858
112,Illinois,41.0,2012,Hours worked,8746.773,12882510,678.9649687832573
113,Indiana,45.6,2012,Hours worked,4343.936,6537703,664.4437656467417
114,Iowa,42.4,2012,Hours worked,2257.744,3076190,733.9416616008764
115,Kansas,34.8,2012,Hours worked,2007.928,2885257,695.9269139629503
116,Kentucky,42.4,2012,Hours worked,2670.105,4386346,608.7310485766512
117,Louisiana,41.3,2012,Hours worked,2975.614,4600972,646.7359505773998
118,Maine,34.0,2012,Hours worked,924.881,1327729,696.5886863960944
119,Maryland,45.3,2012,Hours worked,3661.269,5886992,621.9252548670017
120,Massachusetts,38.3,2012,Hours worked,4998.365,6663005,750.1667791034225
121,Michigan,40.2,2012,Hours worked,6036.743,9897145,609.9479193242091
122,Minnesota,33.4,2012,Hours worked,3995.336,5376643,743.0911816164845
123,Mississippi,40.5,2012,Hours worked,1601.273,2983816,536.6527292567638
124,Missouri,45.2,2012,Hours worked,4053.138,6024367,672.790684896853
125,Montana,28.4,2012,Hours worked,642.849,1003783,640.4262674303111
126,Nebraska,33.4,2012,Hours worked,1431.951,1853303,772.6480775134988
127,Nevada,36.2,2012,Hours worked,1762.989,2743996,642.4896391977247
128,New Hampshire,38.1,2012,Hours worked,960.705,1324232,725.4808825039721
129,New Jersey,40.6,2012,Hours worked,5694.116,8844942,643.7708692719523
130,New Mexico,32.8,2012,Hours worked,1132.1,2087309,542.372978797102
131,New York,36.1,2012,Hours worked,12852.204,19572932,656.6315154009629
132,North Carolina,40.3,2012,Hours worked,5975.757,9749476,612.9310949634627
133,North Dakota,36.5,2012,Hours worked,641.541,701176,914.9500268120985
134,Ohio,44.8,2012,Hours worked,7842.379,11548923,679.0571726904751
135,Oklahoma,43.2,2012,Hours worked,2374.284,3818814,621.7333444362569
136,Oregon,27.4,2012,Hours worked,2490.495,3899001,638.7520803405796
137,Pennsylvania,44.5,2012,Hours worked,8564.731,12767118,670.842942001476
138,Rhode Island,39.0,2012,Hours worked,695.767,1054621,659.7317899036716
139,South Carolina,39.6,2012,Hours worked,2752.332,4717354,583.4482635816604
140,South Dakota,38.9,2012,Hours worked,620.71,833566,744.6440953685731
141,Tennessee,40.2,2012,Hours worked,4252.728,6453898,658.9394502361208
142,Texas,40.2,2012,Hours worked,17542.314,26084481,672.5191887084125
143,Utah,44.1,2012,Hours worked,1845.819,2853375,646.8897358391379
144,Vermont,30.0,2012,Hours worked,464.695,626090,742.2175725534668
145,Virginia,32.5,2012,Hours worked,5511.136,8185080,673.3148606977574
146,Washington,26.3,2012,Hours worked,4386.85,6897058,636.0465578221903
147,West Virginia,39.9,2012,Hours worked,1032.777,1856872,556.19181074409
148,Wisconsin,37.3,2012,Hours worked,4080.102,5719960,713.3095336331023
149,Wyoming,36.7,2012,Hours worked,420.695,576305,729.9867257788844
150,Alabama,37.4,2013,Hours worked,2880.843,4830081,596.4378237135154
151,Alaska,20.4,2013,Hours worked,487.658,737068,661.6187380268849
152,Arizona,44.3,2013,Hours worked,3915.421,6632764,590.3151386058663
153,Arkansas,37.7,2013,Hours worked,1739.377,2959400,587.74650266946
154,California,49.4,2013,Hours worked,24192.767,38260787,632.3123201830637
155,Colorado,39.6,2013,Hours worked,3634.266,5269035,689.7403414477224
156,Connecticut,44.0,2013,Hours worked,2483.673,3594841,690.8992636948337
157,Delaware,42.0,2013,Hours worked,611.073,923576,661.6380243748214
158,Florida,35.0,2013,Hours worked,11803.5,19545621,603.8948570628685
159,Georgia,38.4,2013,Hours worked,6088.217,9972479,610.5018621748915
160,Hawaii,32.2,2013,Hours worked,880.499,1408243,625.2464951006325
161,Idaho,25.5,2013,Hours worked,922.541,1611206,572.5779323066076
162,Illinois,38.9,2013,Hours worked,8765.551,12895129,679.7567515609963
163,Indiana,43.0,2013,Hours worked,4432.856,6568713,674.8439153910363
164,Iowa,40.8,2013,Hours worked,2286.032,3092997,739.0993266401487
165,Kansas,32.4,2013,Hours worked,2001.909,2893212,691.9330488052725
166,Kentucky,38.5,2013,Hours worked,2674.773,4404659,607.2599490675668
167,Louisiana,38.6,2013,Hours worked,2998.835,4624527,648.4630752507229
168,Maine,34.7,2013,Hours worked,931.075,1328009,701.1059413000966
169,Maryland,42.1,2013,Hours worked,3668.303,5923188,619.3122690010853
170,Massachusetts,38.3,2013,Hours worked,5040.126,6713315,750.7656053678398
171,Michigan,37.9,2013,Hours worked,6165.473,9913065,621.9542593536913
172,Minnesota,33.9,2013,Hours worked,4055.274,5413479,749.1068128277583
173,Mississippi,37.3,2013,Hours worked,1609.453,2988711,538.5107492828848
174,Missouri,41.9,2013,Hours worked,4081.299,6040715,675.6317753775836
175,Montana,27.7,2013,Hours worked,644.499,1013569,635.8708681895362
176,Nebraska,27.0,2013,Hours worked,1461.463,1865279,783.5090621831908
177,Nevada,37.5,2013,Hours worked,1774.251,2775970,639.1463164227279
178,New Hampshire,37.9,2013,Hours worked,987.365,1326622,744.2700332121735
179,New Jersey,39.1,2013,Hours worked,5676.395,8856972,640.8956695358188
180,New Mexico,33.5,2013,Hours worked,1153.167,2092273,551.1551312854489
181,New York,35.4,2013,Hours worked,13118.89,19624447,668.4973084846671
182,North Carolina,37.2,2013,Hours worked,6029.783,9843336,612.5751472874643
183,North Dakota,36.7,2013,Hours worked,674.927,722036,934.7553307591311
184,Ohio,40.2,2013,Hours worked,7928.606,11576684,684.877120253088
185,Oklahoma,39.3,2013,Hours worked,2383.776,3853214,618.64614838418
186,Oregon,31.6,2013,Hours worked,2535.64,3922468,646.4399454629075
187,Pennsylvania,42.5,2013,Hours worked,8611.194,12776309,673.9970049252879
188,Rhode Island,39.3,2013,Hours worked,703.181,1055081,666.4711050620758
189,South Carolina,35.8,2013,Hours worked,2825.711,4764080,593.1283689610586
190,South Dakota,37.4,2013,Hours worked,622.043,842316,738.4912550634203
191,Tennessee,38.4,2013,Hours worked,4334.184,6494340,667.3786712737553
192,Texas,38.6,2013,Hours worked,18011.326,26480266,680.179194574556
193,Utah,44.7,2013,Hours worked,1920.353,2897640,662.730014770641
194,Vermont,30.2,2013,Hours worked,468.633,626210,748.3639673591927
195,Virginia,31.1,2013,Hours worked,5443.498,8252427,659.6238900386517
196,Washington,27.4,2013,Hours worked,4396.213,6963985,631.2783557115646
197,West Virginia,36.0,2013,Hours worked,1045.1,1853914,563.726256989267
198,Wisconsin,35.4,2013,Hours worked,4169.021,5736754,726.7212434069858
199,Wyoming,36.7,2013,Hours worked,420.995,582122,723.2075063302882
200,Alabama,38.2,2014,Hours worked,2849.259,4841799,588.4711447129466
201,Alaska,23.4,2014,Hours worked,473.701,736283,643.3681071001232
202,Arizona,43.6,2014,Hours worked,3969.139,6730413,589.7318634086794
203,Arkansas,36.2,2014,Hours worked,1754.29,2967392,591.189165435507
204,California,48.9,2014,Hours worked,24907.289,38596972,645.3171766945864
205,Colorado,36.5,2014,Hours worked,3723.957,5350101,696.0535885210392
206,Connecticut,41.9,2014,Hours worked,2524.887,3594524,702.4259679445735
207,Delaware,44.7,2014,Hours worked,625.618,932487,670.9133746636683
208,Florida,36.5,2014,Hours worked,12235.769,19845911,616.5385403572554
209,Georgia,40.9,2014,Hours worked,6344.81,10067278,630.2408655050551
210,Hawaii,30.2,2014,Hours worked,913.735,1414538,645.960023696783
211,Idaho,26.6,2014,Hours worked,955.183,1631112,585.60233754641
212,Illinois,39.0,2014,Hours worked,8902.067,12884493,690.9132551820238
213,Indiana,42.4,2014,Hours worked,4525.103,6593644,686.2825775853231
214,Iowa,38.5,2014,Hours worked,2347.894,3109350,755.1076591570585
215,Kansas,32.3,2014,Hours worked,2023.728,2900475,697.7229591704807
216,Kentucky,39.0,2014,Hours worked,2734.767,4414349,619.5176230968598
217,Louisiana,38.2,2014,Hours worked,3108.55,4644013,669.3672046137683
218,Maine,34.4,2014,Hours worked,926.403,1330513,696.2750457906086
219,Maryland,43.1,2014,Hours worked,3716.906,5957283,623.9263771756353
220,Massachusetts,38.5,2014,Hours worked,5151.034,6762596,761.6947692868242
221,Michigan,38.5,2014,Hours worked,6283.521,9929848,632.7912572277038
222,Minnesota,31.8,2014,Hours worked,4165.749,5451079,764.2063158504949
223,Mississippi,38.2,2014,Hours worked,1632.372,2990468,545.8583740070117
224,Missouri,40.2,2014,Hours worked,4096.162,6056202,676.3582192271659
225,Montana,27.1,2014,Hours worked,645.434,1021869,631.6210786314097
226,Nebraska,25.5,2014,Hours worked,1455.429,1879321,774.4440678308815
227,Nevada,41.0,2014,Hours worked,1829.55,2817628,649.3227636863347
228,New Hampshire,37.6,2014,Hours worked,987.029,1333341,740.2674934619126
229,New Jersey,39.6,2014,Hours worked,5767.633,8864525,650.6420817810317
230,New Mexico,33.1,2014,Hours worked,1139.457,2089568,545.3074511095116
231,New York,35.2,2014,Hours worked,13315.161,19651049,677.5801637866762
232,North Carolina,39.8,2014,Hours worked,6153.795,9932887,619.5374013617592
233,North Dakota,34.9,2014,Hours worked,701.773,737401,951.6843616973669
234,Ohio,40.4,2014,Hours worked,8022.76,11602700,691.4562989648961
235,Oklahoma,39.0,2014,Hours worked,2451.392,3878187,632.0974207793487
236,Oregon,27.7,2014,Hours worked,2632.383,3963244,664.1990753029589
237,Pennsylvania,42.8,2014,Hours worked,8774.07,12788313,686.1006608142919
238,Rhode Island,37.0,2014,Hours worked,723.251,1055936,684.9382917146494
239,South Carolina,38.1,2014,Hours worked,2851.97,4823617,591.2513369116992
240,South Dakota,33.2,2014,Hours worked,623.287,849129,734.0309894020814
241,Tennessee,38.1,2014,Hours worked,4456.075,6541223,681.2296416128911
242,Texas,37.7,2014,Hours worked,18756.28,26964333,695.5959192463615
243,Utah,41.4,2014,Hours worked,1966.838,2936879,669.7034504996631
244,Vermont,29.0,2014,Hours worked,456.298,625214,729.8269072669518
245,Virginia,31.8,2014,Hours worked,5534.145,8310993,665.8825245069993
246,Washington,25.2,2014,Hours worked,4491.908,7054655,636.7296487213052
247,West Virginia,35.3,2014,Hours worked,1038.289,1849489,561.3923629716099
248,Wisconsin,38.4,2014,Hours worked,4244.11,5751525,737.9103802904447
249,Wyoming,35.1,2014,Hours worked,436.807,582531,749.8433559759052
250,Alabama,39.3,2015,Hours worked,2898.059,4852347,597.2489189252129
251,Alaska,23.1,2015,Hours worked,475.262,737498,644.4247984401313
252,Arizona,40.5,2015,Hours worked,4133.559,6829676,605.235006755811
253,Arkansas,35.1,2015,Hours worked,1785.401,2978048,599.5205584329063
254,California,49.4,2015,Hours worked,25691.855,38918045,660.1527646108636
255,Colorado,35.5,2015,Hours worked,3772.782,5450623,692.1744541862462
256,Connecticut,41.0,2015,Hours worked,2534.422,3587122,706.5335385860866
257,Delaware,43.7,2015,Hours worked,644.75,941252,684.991904399672
258,Florida,34.7,2015,Hours worked,12613.926,20209042,624.1723877856259
259,Georgia,37.8,2015,Hours worked,6492.877,10178447,637.9044858218548
260,Hawaii,32.8,2015,Hours worked,916.596,1422052,644.5587081203781
261,Idaho,24.8,2015,Hours worked,995.993,1651059,603.244947636638
262,Illinois,39.5,2015,Hours worked,9062.324,12858913,704.7503937541221
263,Indiana,40.0,2015,Hours worked,4649.887,6608422,703.6304582243688
264,Iowa,37.3,2015,Hours worked,2367.041,3120960,758.4336229877986
265,Kansas,32.2,2015,Hours worked,2046.852,2909011,703.624702691052
266,Kentucky,39.3,2015,Hours worked,2836.507,4425976,640.8771760172219
267,Louisiana,36.7,2015,Hours worked,3082.842,4664628,660.8977178887577
268,Maine,33.8,2015,Hours worked,974.08,1328262,733.3492940398806
269,Maryland,43.4,2015,Hours worked,3785.651,5985562,632.4637519417558
270,Massachusetts,36.2,2015,Hours worked,5235.769,6794228,770.6201499272618
271,Michigan,38.4,2015,Hours worked,6488.867,9931715,653.3480874149127
272,Minnesota,31.4,2015,Hours worked,4268.128,5482032,778.5667796174848
273,Mississippi,35.6,2015,Hours worked,1636.299,2988471,547.5371854035056
274,Missouri,39.0,2015,Hours worked,4183.076,6071732,688.9427926002004
275,Montana,28.5,2015,Hours worked,657.047,1030475,637.6156626798321
276,Nebraska,26.0,2015,Hours worked,1463.332,1891277,773.7269580288873
277,Nevada,39.6,2015,Hours worked,1921.183,2866939,670.1164552158243
278,New Hampshire,37.4,2015,Hours worked,1008.783,1336350,754.8793355034235
279,New Jersey,39.6,2015,Hours worked,5907.345,8867949,666.1455766152918
280,New Mexico,30.2,2015,Hours worked,1138.985,2089291,545.1538344826067
281,New York,35.7,2015,Hours worked,13732.311,19654666,698.6794382565442
282,North Carolina,38.8,2015,Hours worked,6366.078,10031646,634.5995462758555
283,North Dakota,32.8,2015,Hours worked,669.668,754066,888.0761100487225
284,Ohio,39.1,2015,Hours worked,8201.331,11617527,705.944647255823
285,Oklahoma,35.7,2015,Hours worked,2412.501,3909500,617.0868397493285
286,Oregon,28.9,2015,Hours worked,2706.71,4015792,674.0164829254105
287,Pennsylvania,42.6,2015,Hours worked,8941.81,12784826,699.4080326161654
288,Rhode Island,39.7,2015,Hours worked,734.565,1056065,695.5679811375247
289,South Carolina,35.9,2015,Hours worked,2999.036,4891938,613.0568294201603
290,South Dakota,33.3,2015,Hours worked,628.781,853988,736.2878635296983
291,Tennessee,36.3,2015,Hours worked,4530.716,6591170,687.3917680775947
292,Texas,37.1,2015,Hours worked,19037.681,27470056,693.0339348416327
293,Utah,40.5,2015,Hours worked,2016.269,2981835,676.1839605477835
294,Vermont,29.0,2015,Hours worked,465.239,625216,744.1252303204012
295,Virginia,32.2,2015,Hours worked,5606.287,8361808,670.4634930627443
296,Washington,27.2,2015,Hours worked,4656.163,7163657,649.9701200099335
297,West Virginia,35.7,2015,Hours worked,1038.765,1842050,563.9179175375261
298,Wisconsin,37.6,2015,Hours worked,4287.725,5760940,744.2752398046154
299,Wyoming,34.8,2015,Hours worked,416.763,585613,711.6696521422851
300,Alabama,39.4,2016,Hours worked,2965.173,4863525,609.6756981818743
301,Alaska,24.1,2016,Hours worked,462.165,741456,623.3208713666085
302,Arizona,42.5,2016,Hours worked,4199.313,6941072,604.9948768720451
303,Arkansas,36.4,2016,Hours worked,1811.7,2989918,605.9363500938822
304,California,46.4,2016,Hours worked,26262.867,39167117,670.5335753969331
305,Colorado,35.2,2016,Hours worked,3824.261,5539215,690.3976465979385
306,Connecticut,40.2,2016,Hours worked,2594.188,3578141,725.0099982085669
307,Delaware,41.3,2016,Hours worked,656.747,948921,692.0987100085255
308,Florida,37.2,2016,Hours worked,12960.099,20613477,628.7196963423493
309,Georgia,38.5,2016,Hours worked,6661.306,10301890,646.610088051804
310,Hawaii,31.8,2016,Hours worked,917.075,1427559,642.40777438971
311,Idaho,24.6,2016,Hours worked,1006.015,1682380,597.9713263353107
312,Illinois,38.4,2016,Hours worked,8997.128,12820527,701.7752078366201
313,Indiana,37.8,2016,Hours worked,4684.082,6634304,706.0396991153857
314,Iowa,35.6,2016,Hours worked,2357.834,3131371,752.9717813698855
315,Kansas,31.9,2016,Hours worked,2000.572,2910844,687.2824514127174
316,Kentucky,39.8,2016,Hours worked,2873.174,4438182,647.3763356257134
317,Louisiana,37.2,2016,Hours worked,2993.432,4678135,639.8772160273271
318,Maine,32.1,2016,Hours worked,976.044,1331317,733.1416935260347
319,Maryland,41.2,2016,Hours worked,3834.6,6003323,638.7462410401706
320,Massachusetts,35.8,2016,Hours worked,5342.121,6823608,782.8880263930753
321,Michigan,36.7,2016,Hours worked,6604.4,9950571,663.7207050731058
322,Minnesota,28.6,2016,Hours worked,4330.269,5522744,784.07925480522
323,Mississippi,36.9,2016,Hours worked,1625.543,2987938,544.0350502587403
324,Missouri,37.6,2016,Hours worked,4170.988,6087135,685.2136514140068
325,Montana,26.7,2016,Hours worked,668.951,1040859,642.6912771086189
326,Nebraska,25.4,2016,Hours worked,1461.033,1905616,766.6985373758407
327,Nevada,36.8,2016,Hours worked,2002.357,2917563,686.3114866756947
328,New Hampshire,36.0,2016,Hours worked,1025.741,1342307,764.1627436942517
329,New Jersey,39.6,2016,Hours worked,6032.513,8870827,680.0395273180279
330,New Mexico,30.6,2016,Hours worked,1119.535,2091630,535.2452393587776
331,New York,34.8,2016,Hours worked,13784.757,19633428,702.1064788074706
332,North Carolina,39.1,2016,Hours worked,6501.753,10154788,640.2647696830303
333,North Dakota,29.9,2016,Hours worked,621.512,754434,823.8122884175422
334,Ohio,38.3,2016,Hours worked,8211.513,11634370,705.797821454879
335,Oklahoma,36.2,2016,Hours worked,2427.187,3926331,618.1819617347595
336,Oregon,24.6,2016,Hours worked,2813.447,4089976,687.8883885871213
337,Pennsylvania,41.4,2016,Hours worked,8971.564,12782275,701.8753703859446
338,Rhode Island,37.0,2016,Hours worked,724.541,1056770,685.61844109882
339,South Carolina,37.3,2016,Hours worked,3055.662,4957968,616.3133767704834
340,South Dakota,30.9,2016,Hours worked,634.739,862996,735.5063059388456
341,Tennessee,36.6,2016,Hours worked,4725.478,6646010,711.0248103749468
342,Texas,36.2,2016,Hours worked,19031.865,27914410,681.7935611033871
343,Utah,39.5,2016,Hours worked,2096.057,3041868,689.0690194314808
344,Vermont,29.0,2016,Hours worked,467.524,623657,749.6492463004504
345,Virginia,30.0,2016,Hours worked,5657.126,8410106,672.6581091843551
346,Washington,24.1,2016,Hours worked,4831.538,7294771,662.3289476804687
347,West Virginia,35.4,2016,Hours worked,1018.044,1831023,555.9973850683471
348,Wisconsin,36.0,2016,Hours worked,4362.688,5772628,755.7542249387974
349,Wyoming,37.3,2016,Hours worked,378.487,584215,647.8556695737014
350,Alabama,38.4,2017,Hours worked,2979.915,4874486,611.3290714138885
351,Alaska,22.0,2017,Hours worked,459.025,739700,620.5556306610788
352,Arizona,44.2,2017,Hours worked,4362.743,7044008,619.3552023223142
353,Arkansas,37.1,2017,Hours worked,1868.708,3001345,622.6235237868356
354,California,49.0,2017,Hours worked,26867.506,39358497,682.6354675078167
355,Colorado,36.4,2017,Hours worked,3902.861,5611885,695.4634672663464
356,Connecticut,38.2,2017,Hours worked,2544.033,3573297,711.956772694797
357,Delaware,41.3,2017,Hours worked,651.23,956823,680.6170002184313
358,Florida,37.0,2017,Hours worked,13267.073,20963613,632.861949893847
359,Georgia,37.2,2017,Hours worked,6830.328,10410330,656.1106132082268
360,Hawaii,28.8,2017,Hours worked,920.102,1424393,645.9607706580979
361,Idaho,28.4,2017,Hours worked,1063.296,1717715,619.0177066626303
362,Illinois,40.8,2017,Hours worked,9073.554,12778828,710.0458664910428
363,Indiana,38.3,2017,Hours worked,4765.865,6658078,715.8019176104575
364,Iowa,36.8,2017,Hours worked,2359.232,3141550,750.9770654613169
365,Kansas,32.6,2017,Hours worked,2030.235,2908718,697.9827539142674
366,Kentucky,39.5,2017,Hours worked,2905.745,4452268,652.6437761608241
367,Louisiana,36.4,2017,Hours worked,3054.511,4670560,653.9924548662259
368,Maine,33.8,2017,Hours worked,983.711,1334612,737.0763937384048
369,Maryland,40.9,2017,Hours worked,3951.271,6023868,655.9358538400908
370,Massachusetts,37.5,2017,Hours worked,5432.515,6859789,791.9361659666208
371,Michigan,36.6,2017,Hours worked,6666.136,9973114,668.4106889783873
372,Minnesota,31.6,2017,Hours worked,4394.321,5566230,789.4609098078951
373,Mississippi,35.8,2017,Hours worked,1658.812,2988510,555.0632254869483
374,Missouri,39.8,2017,Hours worked,4217.239,6106670,690.595529150912
375,Montana,30.9,2017,Hours worked,669.06,1052482,635.6973325909612
376,Nebraska,28.9,2017,Hours worked,1510.023,1915947,788.1340141454853
