,Unnamed: 0_x,State,Median AQI,year,Unnamed: 0_y,Area,Measure,Units,Year,Value
70,503,Delaware,50.3,2007,105,Delaware,Hours worked,Millions of hours,2007,663.765
72,503,Delaware,50.3,2007,1755,Delaware,Employment,Thousands of jobs,2007,400.5
74,503,Delaware,50.3,2007,8355,Delaware,Hours worked,Index (2012=100),2007,109.522
75,503,Delaware,50.3,2007,9180,Delaware,Employment,Index (2012=100),2007,105.344
76,503,Delaware,50.3,2007,14955,Delaware,Labor productivity,Index (2012=100),2007,88.608
78,503,Delaware,50.3,2007,16605,Delaware,Output per worker,Index (2012=100),2007,92.122
80,505,Florida,40.8,2007,135,Florida,Hours worked,Millions of hours,2007,"12,827.333"
82,505,Florida,40.8,2007,1785,Florida,Employment,Thousands of jobs,2007,7483.7
84,505,Florida,40.8,2007,8385,Florida,Hours worked,Index (2012=100),2007,113.145
85,505,Florida,40.8,2007,9210,Florida,Employment,Index (2012=100),2007,109.744
86,505,Florida,40.8,2007,14985,Florida,Labor productivity,Index (2012=100),2007,95.820
88,505,Florida,40.8,2007,16635,Florida,Output per worker,Index (2012=100),2007,98.789
90,506,Georgia,49.8,2007,150,Georgia,Hours worked,Millions of hours,2007,"6,492.891"
92,506,Georgia,49.8,2007,1800,Georgia,Employment,Thousands of jobs,2007,3773.2
94,506,Georgia,49.8,2007,8400,Georgia,Hours worked,Index (2012=100),2007,107.875
95,506,Georgia,49.8,2007,9225,Georgia,Employment,Index (2012=100),2007,106.296
96,506,Georgia,49.8,2007,15000,Georgia,Labor productivity,Index (2012=100),2007,94.370
98,506,Georgia,49.8,2007,16650,Georgia,Output per worker,Index (2012=100),2007,95.772
100,507,Hawaii,15.7,2007,165,Hawaii,Hours worked,Millions of hours,2007,889.797
102,507,Hawaii,15.7,2007,1815,Hawaii,Employment,Thousands of jobs,2007,560.1
104,507,Hawaii,15.7,2007,8415,Hawaii,Hours worked,Index (2012=100),2007,100.365
105,507,Hawaii,15.7,2007,9240,Hawaii,Employment,Index (2012=100),2007,104.914
106,507,Hawaii,15.7,2007,15015,Hawaii,Labor productivity,Index (2012=100),2007,98.398
108,507,Hawaii,15.7,2007,16665,Hawaii,Output per worker,Index (2012=100),2007,94.131
110,508,Idaho,27.6,2007,180,Idaho,Hours worked,Millions of hours,2007,"1,026.068"
112,508,Idaho,27.6,2007,1830,Idaho,Employment,Thousands of jobs,2007,621.0
114,508,Idaho,27.6,2007,8430,Idaho,Hours worked,Index (2012=100),2007,112.240
115,508,Idaho,27.6,2007,9255,Idaho,Employment,Index (2012=100),2007,109.175
116,508,Idaho,27.6,2007,15030,Idaho,Labor productivity,Index (2012=100),2007,89.155
118,508,Idaho,27.6,2007,16680,Idaho,Output per worker,Index (2012=100),2007,91.658
120,509,Illinois,42.5,2007,195,Illinois,Hours worked,Millions of hours,2007,"9,103.526"
122,509,Illinois,42.5,2007,1845,Illinois,Employment,Thousands of jobs,2007,5492.3
124,509,Illinois,42.5,2007,8445,Illinois,Hours worked,Index (2012=100),2007,104.079
125,509,Illinois,42.5,2007,9270,Illinois,Employment,Index (2012=100),2007,104.905
126,509,Illinois,42.5,2007,15045,Illinois,Labor productivity,Index (2012=100),2007,93.912
128,509,Illinois,42.5,2007,16695,Illinois,Output per worker,Index (2012=100),2007,93.172
130,510,Indiana,50.6,2007,210,Indiana,Hours worked,Millions of hours,2007,"4,676.620"
132,510,Indiana,50.6,2007,1860,Indiana,Employment,Thousands of jobs,2007,2734.3
134,510,Indiana,50.6,2007,8460,Indiana,Hours worked,Index (2012=100),2007,107.659
135,510,Indiana,50.6,2007,9285,Indiana,Employment,Index (2012=100),2007,105.784
136,510,Indiana,50.6,2007,15060,Indiana,Labor productivity,Index (2012=100),2007,94.034
138,510,Indiana,50.6,2007,16710,Indiana,Output per worker,Index (2012=100),2007,95.700
140,511,Iowa,41.4,2007,225,Iowa,Hours worked,Millions of hours,2007,"2,291.459"
142,511,Iowa,41.4,2007,1875,Iowa,Employment,Thousands of jobs,2007,1382.7
144,511,Iowa,41.4,2007,8475,Iowa,Hours worked,Index (2012=100),2007,101.493
145,511,Iowa,41.4,2007,9300,Iowa,Employment,Index (2012=100),2007,101.459
146,511,Iowa,41.4,2007,15075,Iowa,Labor productivity,Index (2012=100),2007,97.000
148,511,Iowa,41.4,2007,16725,Iowa,Output per worker,Index (2012=100),2007,97.033
150,512,Kansas,33.7,2007,240,Kansas,Hours worked,Millions of hours,2007,"2,059.137"
152,512,Kansas,33.7,2007,1890,Kansas,Employment,Thousands of jobs,2007,1236.9
154,512,Kansas,33.7,2007,8490,Kansas,Hours worked,Index (2012=100),2007,102.550
155,512,Kansas,33.7,2007,9315,Kansas,Employment,Index (2012=100),2007,103.240
156,512,Kansas,33.7,2007,15090,Kansas,Labor productivity,Index (2012=100),2007,94.679
158,512,Kansas,33.7,2007,16740,Kansas,Output per worker,Index (2012=100),2007,94.046
160,513,Kentucky,48.0,2007,255,Kentucky,Hours worked,Millions of hours,2007,"2,985.955"
162,513,Kentucky,48.0,2007,1905,Kentucky,Employment,Thousands of jobs,2007,1684.3
164,513,Kentucky,48.0,2007,8505,Kentucky,Hours worked,Index (2012=100),2007,111.829
165,513,Kentucky,48.0,2007,9330,Kentucky,Employment,Index (2012=100),2007,105.753
166,513,Kentucky,48.0,2007,15105,Kentucky,Labor productivity,Index (2012=100),2007,87.775
168,513,Kentucky,48.0,2007,16755,Kentucky,Output per worker,Index (2012=100),2007,92.818
170,514,Louisiana,41.6,2007,270,Louisiana,Hours worked,Millions of hours,2007,"2,975.112"
172,514,Louisiana,41.6,2007,1920,Louisiana,Employment,Thousands of jobs,2007,1716.8
174,514,Louisiana,41.6,2007,8520,Louisiana,Hours worked,Index (2012=100),2007,99.983
175,514,Louisiana,41.6,2007,9345,Louisiana,Employment,Index (2012=100),2007,100.674
176,514,Louisiana,41.6,2007,15120,Louisiana,Labor productivity,Index (2012=100),2007,101.741
178,514,Louisiana,41.6,2007,16770,Louisiana,Output per worker,Index (2012=100),2007,101.043
180,515,Maine,32.8,2007,285,Maine,Hours worked,Millions of hours,2007,971.893
182,515,Maine,32.8,2007,1935,Maine,Employment,Thousands of jobs,2007,592.3
184,515,Maine,32.8,2007,8535,Maine,Hours worked,Index (2012=100),2007,105.083
185,515,Maine,32.8,2007,9360,Maine,Employment,Index (2012=100),2007,104.925
186,515,Maine,32.8,2007,15135,Maine,Labor productivity,Index (2012=100),2007,97.407
188,515,Maine,32.8,2007,16785,Maine,Output per worker,Index (2012=100),2007,97.554
190,516,Maryland,48.1,2007,300,Maryland,Hours worked,Millions of hours,2007,"3,864.007"
192,516,Maryland,48.1,2007,1950,Maryland,Employment,Thousands of jobs,2007,2305.2
194,516,Maryland,48.1,2007,8550,Maryland,Hours worked,Index (2012=100),2007,105.537
195,516,Maryland,48.1,2007,9375,Maryland,Employment,Index (2012=100),2007,103.028
196,516,Maryland,48.1,2007,15150,Maryland,Labor productivity,Index (2012=100),2007,88.096
198,516,Maryland,48.1,2007,16800,Maryland,Output per worker,Index (2012=100),2007,90.243
200,517,Massachusetts,40.5,2007,315,Massachusetts,Hours worked,Millions of hours,2007,"5,040.240"
202,517,Massachusetts,40.5,2007,1965,Massachusetts,Employment,Thousands of jobs,2007,3111.5
204,517,Massachusetts,40.5,2007,8565,Massachusetts,Hours worked,Index (2012=100),2007,100.838
205,517,Massachusetts,40.5,2007,9390,Massachusetts,Employment,Index (2012=100),2007,98.749
206,517,Massachusetts,40.5,2007,15165,Massachusetts,Labor productivity,Index (2012=100),2007,89.706
208,517,Massachusetts,40.5,2007,16815,Massachusetts,Output per worker,Index (2012=100),2007,91.603
210,518,Michigan,40.8,2007,330,Michigan,Hours worked,Millions of hours,2007,"6,562.950"
212,518,Michigan,40.8,2007,1980,Michigan,Employment,Thousands of jobs,2007,3907.0
214,518,Michigan,40.8,2007,8580,Michigan,Hours worked,Index (2012=100),2007,108.717
215,518,Michigan,40.8,2007,9405,Michigan,Employment,Index (2012=100),2007,106.948
216,518,Michigan,40.8,2007,15180,Michigan,Labor productivity,Index (2012=100),2007,96.155
218,518,Michigan,40.8,2007,16830,Michigan,Output per worker,Index (2012=100),2007,97.745
220,519,Minnesota,35.6,2007,345,Minnesota,Hours worked,Millions of hours,2007,"4,133.489"
222,519,Minnesota,35.6,2007,1995,Minnesota,Employment,Thousands of jobs,2007,2548.3
224,519,Minnesota,35.6,2007,8595,Minnesota,Hours worked,Index (2012=100),2007,103.458
225,519,Minnesota,35.6,2007,9420,Minnesota,Employment,Index (2012=100),2007,102.818
226,519,Minnesota,35.6,2007,15195,Minnesota,Labor productivity,Index (2012=100),2007,92.700
228,519,Minnesota,35.6,2007,16845,Minnesota,Output per worker,Index (2012=100),2007,93.277
230,520,Mississippi,47.3,2007,360,Mississippi,Hours worked,Millions of hours,2007,"1,730.715"
232,520,Mississippi,47.3,2007,2010,Mississippi,Employment,Thousands of jobs,2007,1001.8
234,520,Mississippi,47.3,2007,8610,Mississippi,Hours worked,Index (2012=100),2007,108.084
235,520,Mississippi,47.3,2007,9435,Mississippi,Employment,Index (2012=100),2007,107.825
236,520,Mississippi,47.3,2007,15210,Mississippi,Labor productivity,Index (2012=100),2007,92.373
238,520,Mississippi,47.3,2007,16860,Mississippi,Output per worker,Index (2012=100),2007,92.594
240,521,Missouri,46.8,2007,375,Missouri,Hours worked,Millions of hours,2007,"4,345.754"
242,521,Missouri,46.8,2007,2025,Missouri,Employment,Thousands of jobs,2007,2604.5
244,521,Missouri,46.8,2007,8625,Missouri,Hours worked,Index (2012=100),2007,107.220
245,521,Missouri,46.8,2007,9450,Missouri,Employment,Index (2012=100),2007,106.830
246,521,Missouri,46.8,2007,15225,Missouri,Labor productivity,Index (2012=100),2007,91.327
248,521,Missouri,46.8,2007,16875,Missouri,Output per worker,Index (2012=100),2007,91.660
250,522,Montana,22.8,2007,390,Montana,Hours worked,Millions of hours,2007,701.203
252,522,Montana,22.8,2007,2040,Montana,Employment,Thousands of jobs,2007,412.2
254,522,Montana,22.8,2007,8640,Montana,Hours worked,Index (2012=100),2007,109.077
255,522,Montana,22.8,2007,9465,Montana,Employment,Index (2012=100),2007,102.809
256,522,Montana,22.8,2007,15240,Montana,Labor productivity,Index (2012=100),2007,88.697
258,522,Montana,22.8,2007,16890,Montana,Output per worker,Index (2012=100),2007,94.104
260,523,Nebraska,31.4,2007,405,Nebraska,Hours worked,Millions of hours,2007,"1,430.323"
262,523,Nebraska,31.4,2007,2055,Nebraska,Employment,Thousands of jobs,2007,880.0
264,523,Nebraska,31.4,2007,8655,Nebraska,Hours worked,Index (2012=100),2007,99.886
265,523,Nebraska,31.4,2007,9480,Nebraska,Employment,Index (2012=100),2007,101.014
266,523,Nebraska,31.4,2007,15255,Nebraska,Labor productivity,Index (2012=100),2007,91.527
268,523,Nebraska,31.4,2007,16905,Nebraska,Output per worker,Index (2012=100),2007,90.506
270,524,Nevada,35.4,2007,420,Nevada,Hours worked,Millions of hours,2007,"2,184.012"
272,524,Nevada,35.4,2007,2070,Nevada,Employment,Thousands of jobs,2007,1203.1
274,524,Nevada,35.4,2007,8670,Nevada,Hours worked,Index (2012=100),2007,123.881
275,524,Nevada,35.4,2007,9495,Nevada,Employment,Index (2012=100),2007,113.229
276,524,Nevada,35.4,2007,15270,Nevada,Labor productivity,Index (2012=100),2007,90.422
278,524,Nevada,35.4,2007,16920,Nevada,Output per worker,Index (2012=100),2007,98.929
280,525,New Hampshire,36.0,2007,435,New Hampshire,Hours worked,Millions of hours,2007,990.681
282,525,New Hampshire,36.0,2007,2085,New Hampshire,Employment,Thousands of jobs,2007,616.6
284,525,New Hampshire,36.0,2007,8685,New Hampshire,Hours worked,Index (2012=100),2007,103.120
285,525,New Hampshire,36.0,2007,9510,New Hampshire,Employment,Index (2012=100),2007,102.880
286,525,New Hampshire,36.0,2007,15285,New Hampshire,Labor productivity,Index (2012=100),2007,93.797
288,525,New Hampshire,36.0,2007,16935,New Hampshire,Output per worker,Index (2012=100),2007,94.016
290,526,New Jersey,42.2,2007,450,New Jersey,Hours worked,Millions of hours,2007,"6,022.778"
292,526,New Jersey,42.2,2007,2100,New Jersey,Employment,Thousands of jobs,2007,3648.0
294,526,New Jersey,42.2,2007,8700,New Jersey,Hours worked,Index (2012=100),2007,105.772
295,526,New Jersey,42.2,2007,9525,New Jersey,Employment,Index (2012=100),2007,104.427
296,526,New Jersey,42.2,2007,15300,New Jersey,Labor productivity,Index (2012=100),2007,95.315
298,526,New Jersey,42.2,2007,16950,New Jersey,Output per worker,Index (2012=100),2007,96.543
300,527,New Mexico,30.1,2007,465,New Mexico,Hours worked,Millions of hours,2007,"1,233.411"
302,527,New Mexico,30.1,2007,2115,New Mexico,Employment,Thousands of jobs,2007,740.1
304,527,New Mexico,30.1,2007,8715,New Mexico,Hours worked,Index (2012=100),2007,108.949
305,527,New Mexico,30.1,2007,9540,New Mexico,Employment,Index (2012=100),2007,109.224
306,527,New Mexico,30.1,2007,15315,New Mexico,Labor productivity,Index (2012=100),2007,91.458
308,527,New Mexico,30.1,2007,16965,New Mexico,Output per worker,Index (2012=100),2007,91.228
310,528,New York,38.0,2007,480,New York,Hours worked,Millions of hours,2007,"12,840.586"
312,528,New York,38.0,2007,2130,New York,Employment,Thousands of jobs,2007,7787.5
314,528,New York,38.0,2007,8730,New York,Hours worked,Index (2012=100),2007,99.910
315,528,New York,38.0,2007,9555,New York,Employment,Index (2012=100),2007,99.407
316,528,New York,38.0,2007,15330,New York,Labor productivity,Index (2012=100),2007,89.929
318,528,New York,38.0,2007,16980,New York,Output per worker,Index (2012=100),2007,90.384
320,529,North Carolina,49.9,2007,495,North Carolina,Hours worked,Millions of hours,2007,"6,357.400"
322,529,North Carolina,49.9,2007,2145,North Carolina,Employment,Thousands of jobs,2007,3778.3
324,529,North Carolina,49.9,2007,8745,North Carolina,Hours worked,Index (2012=100),2007,106.387
325,529,North Carolina,49.9,2007,9570,North Carolina,Employment,Index (2012=100),2007,105.951
326,529,North Carolina,49.9,2007,15345,North Carolina,Labor productivity,Index (2012=100),2007,93.359
328,529,North Carolina,49.9,2007,16995,North Carolina,Output per worker,Index (2012=100),2007,93.743
330,530,North Dakota,29.8,2007,510,North Dakota,Hours worked,Millions of hours,2007,494.331
332,530,North Dakota,29.8,2007,2160,North Dakota,Employment,Thousands of jobs,2007,308.2
334,530,North Dakota,29.8,2007,8760,North Dakota,Hours worked,Index (2012=100),2007,77.054
335,530,North Dakota,29.8,2007,9585,North Dakota,Employment,Index (2012=100),2007,81.839
336,530,North Dakota,29.8,2007,15360,North Dakota,Labor productivity,Index (2012=100),2007,74.354
338,530,North Dakota,29.8,2007,17010,North Dakota,Output per worker,Index (2012=100),2007,70.007
340,531,Ohio,43.6,2007,525,Ohio,Hours worked,Millions of hours,2007,"8,112.713"
342,531,Ohio,43.6,2007,2175,Ohio,Employment,Thousands of jobs,2007,4971.0
344,531,Ohio,43.6,2007,8775,Ohio,Hours worked,Index (2012=100),2007,103.447
345,531,Ohio,43.6,2007,9600,Ohio,Employment,Index (2012=100),2007,104.294
346,531,Ohio,43.6,2007,15375,Ohio,Labor productivity,Index (2012=100),2007,96.752
348,531,Ohio,43.6,2007,17025,Ohio,Output per worker,Index (2012=100),2007,95.966
350,532,Oklahoma,37.8,2007,540,Oklahoma,Hours worked,Millions of hours,2007,"2,313.392"
352,532,Oklahoma,37.8,2007,2190,Oklahoma,Employment,Thousands of jobs,2007,1371.5
354,532,Oklahoma,37.8,2007,8790,Oklahoma,Hours worked,Index (2012=100),2007,97.435
355,532,Oklahoma,37.8,2007,9615,Oklahoma,Employment,Index (2012=100),2007,99.488
356,532,Oklahoma,37.8,2007,15390,Oklahoma,Labor productivity,Index (2012=100),2007,90.832
358,532,Oklahoma,37.8,2007,17040,Oklahoma,Output per worker,Index (2012=100),2007,88.958
360,533,Oregon,27.1,2007,555,Oregon,Hours worked,Millions of hours,2007,"2,733.859"
362,533,Oregon,27.1,2007,2205,Oregon,Employment,Thousands of jobs,2007,1654.5
364,533,Oregon,27.1,2007,8805,Oregon,Hours worked,Index (2012=100),2007,109.772
365,533,Oregon,27.1,2007,9630,Oregon,Employment,Index (2012=100),2007,107.184
366,533,Oregon,27.1,2007,15405,Oregon,Labor productivity,Index (2012=100),2007,87.882
368,533,Oregon,27.1,2007,17055,Oregon,Output per worker,Index (2012=100),2007,90.004
370,534,Pennsylvania,42.5,2007,570,Pennsylvania,Hours worked,Millions of hours,2007,"8,933.345"
372,534,Pennsylvania,42.5,2007,2220,Pennsylvania,Employment,Thousands of jobs,2007,5449.6
374,534,Pennsylvania,42.5,2007,8820,Pennsylvania,Hours worked,Index (2012=100),2007,104.304
375,534,Pennsylvania,42.5,2007,9645,Pennsylvania,Employment,Index (2012=100),2007,102.314
376,534,Pennsylvania,42.5,2007,15420,Pennsylvania,Labor productivity,Index (2012=100),2007,90.306
378,534,Pennsylvania,42.5,2007,17070,Pennsylvania,Output per worker,Index (2012=100),2007,92.062
380,536,Rhode Island,41.0,2007,585,Rhode Island,Hours worked,Millions of hours,2007,751.561
382,536,Rhode Island,41.0,2007,2235,Rhode Island,Employment,Thousands of jobs,2007,464.9
384,536,Rhode Island,41.0,2007,8835,Rhode Island,Hours worked,Index (2012=100),2007,108.019
385,536,Rhode Island,41.0,2007,9660,Rhode Island,Employment,Index (2012=100),2007,106.803
386,536,Rhode Island,41.0,2007,15435,Rhode Island,Labor productivity,Index (2012=100),2007,91.212
388,536,Rhode Island,41.0,2007,17085,Rhode Island,Output per worker,Index (2012=100),2007,92.251
390,537,South Carolina,45.4,2007,600,South Carolina,Hours worked,Millions of hours,2007,"3,002.618"
392,537,South Carolina,45.4,2007,2250,South Carolina,Employment,Thousands of jobs,2007,1727.3
394,537,South Carolina,45.4,2007,8850,South Carolina,Hours worked,Index (2012=100),2007,109.094
395,537,South Carolina,45.4,2007,9675,South Carolina,Employment,Index (2012=100),2007,106.464
396,537,South Carolina,45.4,2007,15450,South Carolina,Labor productivity,Index (2012=100),2007,92.398
398,537,South Carolina,45.4,2007,17100,South Carolina,Output per worker,Index (2012=100),2007,94.680
400,538,South Dakota,33.0,2007,615,South Dakota,Hours worked,Millions of hours,2007,587.107
402,538,South Dakota,33.0,2007,2265,South Dakota,Employment,Thousands of jobs,2007,365.9
404,538,South Dakota,33.0,2007,8865,South Dakota,Hours worked,Index (2012=100),2007,94.586
405,538,South Dakota,33.0,2007,9690,South Dakota,Employment,Index (2012=100),2007,99.257
406,538,South Dakota,33.0,2007,15465,South Dakota,Labor productivity,Index (2012=100),2007,90.386
408,538,South Dakota,33.0,2007,17115,South Dakota,Output per worker,Index (2012=100),2007,86.133
410,539,Tennessee,49.7,2007,630,Tennessee,Hours worked,Millions of hours,2007,"4,557.592"
412,539,Tennessee,49.7,2007,2280,Tennessee,Employment,Thousands of jobs,2007,2659.8
414,539,Tennessee,49.7,2007,8880,Tennessee,Hours worked,Index (2012=100),2007,107.169
415,539,Tennessee,49.7,2007,9705,Tennessee,Employment,Index (2012=100),2007,106.872
416,539,Tennessee,49.7,2007,15480,Tennessee,Labor productivity,Index (2012=100),2007,89.576
418,539,Tennessee,49.7,2007,17130,Tennessee,Output per worker,Index (2012=100),2007,89.825
420,540,Texas,39.7,2007,645,Texas,Hours worked,Millions of hours,2007,"16,806.132"
422,540,Texas,39.7,2007,2295,Texas,Employment,Thousands of jobs,2007,9525.0
424,540,Texas,39.7,2007,8895,Texas,Hours worked,Index (2012=100),2007,95.803
425,540,Texas,39.7,2007,9720,Texas,Employment,Index (2012=100),2007,95.417
426,540,Texas,39.7,2007,15495,Texas,Labor productivity,Index (2012=100),2007,93.825
428,540,Texas,39.7,2007,17145,Texas,Output per worker,Index (2012=100),2007,94.204
430,541,Utah,44.6,2007,660,Utah,Hours worked,Millions of hours,2007,"1,913.459"
432,541,Utah,44.6,2007,2310,Utah,Employment,Thousands of jobs,2007,1142.1
434,541,Utah,44.6,2007,8910,Utah,Hours worked,Index (2012=100),2007,103.664
435,541,Utah,44.6,2007,9735,Utah,Employment,Index (2012=100),2007,103.690
436,541,Utah,44.6,2007,15510,Utah,Labor productivity,Index (2012=100),2007,92.496
438,541,Utah,44.6,2007,17160,Utah,Output per worker,Index (2012=100),2007,92.473
440,542,Vermont,26.0,2007,675,Vermont,Hours worked,Millions of hours,2007,479.674
442,542,Vermont,26.0,2007,2325,Vermont,Employment,Thousands of jobs,2007,294.8
444,542,Vermont,26.0,2007,8925,Vermont,Hours worked,Index (2012=100),2007,103.223
445,542,Vermont,26.0,2007,9750,Vermont,Employment,Index (2012=100),2007,103.069
446,542,Vermont,26.0,2007,15525,Vermont,Labor productivity,Index (2012=100),2007,88.293
448,542,Vermont,26.0,2007,17175,Vermont,Output per worker,Index (2012=100),2007,88.425
450,544,Virginia,38.2,2007,690,Virginia,Hours worked,Millions of hours,2007,"5,759.071"
452,544,Virginia,38.2,2007,2340,Virginia,Employment,Thousands of jobs,2007,3382.5
454,544,Virginia,38.2,2007,8940,Virginia,Hours worked,Index (2012=100),2007,104.499
455,544,Virginia,38.2,2007,9765,Virginia,Employment,Index (2012=100),2007,103.695
456,544,Virginia,38.2,2007,15540,Virginia,Labor productivity,Index (2012=100),2007,91.364
458,544,Virginia,38.2,2007,17190,Virginia,Output per worker,Index (2012=100),2007,92.073
460,545,Washington,26.7,2007,705,Washington,Hours worked,Millions of hours,2007,"4,561.725"
462,545,Washington,26.7,2007,2355,Washington,Employment,Thousands of jobs,2007,2722.2
464,545,Washington,26.7,2007,8955,Washington,Hours worked,Index (2012=100),2007,103.986
465,545,Washington,26.7,2007,9780,Washington,Employment,Index (2012=100),2007,102.617
466,545,Washington,26.7,2007,15555,Washington,Labor productivity,Index (2012=100),2007,89.823
468,545,Washington,26.7,2007,17205,Washington,Output per worker,Index (2012=100),2007,91.022
470,546,West Virginia,48.1,2007,720,West Virginia,Hours worked,Millions of hours,2007,"1,065.745"
472,546,West Virginia,48.1,2007,2370,West Virginia,Employment,Thousands of jobs,2007,626.8
474,546,West Virginia,48.1,2007,8970,West Virginia,Hours worked,Index (2012=100),2007,103.192
475,546,West Virginia,48.1,2007,9795,West Virginia,Employment,Index (2012=100),2007,101.325
476,546,West Virginia,48.1,2007,15570,West Virginia,Labor productivity,Index (2012=100),2007,93.070
478,546,West Virginia,48.1,2007,17220,West Virginia,Output per worker,Index (2012=100),2007,94.785
480,547,Wisconsin,41.1,2007,735,Wisconsin,Hours worked,Millions of hours,2007,"4,197.787"
482,547,Wisconsin,41.1,2007,2385,Wisconsin,Employment,Thousands of jobs,2007,2643.5
484,547,Wisconsin,41.1,2007,8985,Wisconsin,Hours worked,Index (2012=100),2007,102.884
485,547,Wisconsin,41.1,2007,9810,Wisconsin,Employment,Index (2012=100),2007,104.525
486,547,Wisconsin,41.1,2007,15585,Wisconsin,Labor productivity,Index (2012=100),2007,94.819
488,547,Wisconsin,41.1,2007,17235,Wisconsin,Output per worker,Index (2012=100),2007,93.331
490,548,Wyoming,31.9,2007,750,Wyoming,Hours worked,Millions of hours,2007,431.167
492,548,Wyoming,31.9,2007,2400,Wyoming,Employment,Thousands of jobs,2007,247.0
494,548,Wyoming,31.9,2007,9000,Wyoming,Hours worked,Index (2012=100),2007,102.489
495,548,Wyoming,31.9,2007,9825,Wyoming,Employment,Index (2012=100),2007,102.759
496,548,Wyoming,31.9,2007,15600,Wyoming,Labor productivity,Index (2012=100),2007,106.084
498,548,Wyoming,31.9,2007,17250,Wyoming,Output per worker,Index (2012=100),2007,105.805
500,549,Alabama,44.3,2008,1,Alabama,Hours worked,Millions of hours,2008,"2,999.167"
502,549,Alabama,44.3,2008,1651,Alabama,Employment,Thousands of jobs,2008,1728.7
504,549,Alabama,44.3,2008,8251,Alabama,Hours worked,Index (2012=100),2008,105.855
505,549,Alabama,44.3,2008,9076,Alabama,Employment,Index (2012=100),2008,105.771
