,State,Median AQI,Year,Measure,Value,Population,per_capita
37,Pennsylvania,45.2,2010,Labor productivity,97.285,12711160,7.653510773210312e-06
38,Rhode Island,39.3,2010,Labor productivity,97.723,1053959,9.271992553790043e-05
39,South Carolina,40.8,2010,Labor productivity,99.235,4635649,2.1406927055952683e-05
40,South Dakota,34.7,2010,Labor productivity,95.539,816166,0.00011705829451361611
41,Tennessee,41.3,2010,Labor productivity,96.619,6355311,1.5202875201544032e-05
42,Texas,38.2,2010,Labor productivity,98.649,25241971,3.908133798267972e-06
43,Utah,41.6,2010,Labor productivity,97.562,2775332,3.515327175271283e-05
44,Vermont,34.3,2010,Labor productivity,99.046,625879,0.0001582510357433306
45,Virginia,36.1,2010,Labor productivity,100.324,8023699,1.2503460062497359e-05
46,Washington,23.8,2010,Labor productivity,98.441,6742830,1.4599359616066252e-05
47,West Virginia,43.3,2010,Labor productivity,100.578,1854239,5.424219855153516e-05
48,Wisconsin,37.9,2010,Labor productivity,98.774,5690475,1.735777768991165e-05
49,Wyoming,32.1,2010,Labor productivity,107.463,564487,0.000190372851810582
50,Alabama,42.8,2011,Labor productivity,101.778,4799069,2.1207863441846744e-05
51,Alaska,22.4,2011,Labor productivity,92.795,722128,0.00012850214920346532
52,Arizona,45.8,2011,Labor productivity,98.952,6472643,1.528772713094172e-05
53,Arkansas,42.8,2011,Labor productivity,99.848,2940667,3.395420154679194e-05
54,California,49.4,2011,Labor productivity,98.922,37638369,2.6282222803012532e-06
55,Colorado,38.8,2011,Labor productivity,100.632,5121108,1.9650435023045794e-05
56,Connecticut,39.5,2011,Labor productivity,100.278,3588283,2.7945956325072468e-05
57,Delaware,44.0,2011,Labor productivity,101.712,907381,0.00011209403767546378
58,Florida,38.7,2011,Labor productivity,99.923,19053237,5.244410700396998e-06
59,Georgia,46.7,2011,Labor productivity,101.071,9802431,1.0310809634875268e-05
60,Hawaii,32.2,2011,Labor productivity,102.668,1379329,7.443329328970826e-05
61,Idaho,25.4,2011,Labor productivity,99.457,1583910,6.279207783270514e-05
62,Illinois,40.7,2011,Labor productivity,98.833,12867454,7.680851239102934e-06
63,Indiana,45.7,2011,Labor productivity,99.785,6516528,1.5312602048207266e-05
64,Iowa,41.2,2011,Labor productivity,97.388,3066336,3.176038111935548e-05
65,Kansas,35.4,2011,Labor productivity,99.712,2869225,3.475224145893055e-05
66,Kentucky,42.2,2011,Labor productivity,98.546,4369821,2.2551495816419027e-05
67,Louisiana,42.3,2011,Labor productivity,102.789,4575625,2.246447206665756e-05
68,Maine,33.1,2011,Labor productivity,101.551,1328284,7.645277666523124e-05
69,Maryland,45.3,2011,Labor productivity,99.234,5839419,1.699381393936623e-05
70,Massachusetts,40.1,2011,Labor productivity,98.429,6613583,1.4882855480909517e-05
71,Michigan,37.7,2011,Labor productivity,99.023,9882412,1.002012464163607e-05
72,Minnesota,34.0,2011,Labor productivity,100.624,5346143,1.882179358090496e-05
73,Mississippi,43.4,2011,Labor productivity,98.328,2978731,3.3010030110137505e-05
74,Missouri,45.0,2011,Labor productivity,98.486,6010275,1.6386271842802536e-05
75,Montana,27.5,2011,Labor productivity,101.863,997316,0.00010213713607322052
76,Nebraska,30.3,2011,Labor productivity,98.782,1840672,5.3666269710192796e-05
77,Nevada,33.0,2011,Labor productivity,100.932,2712730,3.720679905482669e-05
78,New Hampshire,39.1,2011,Labor productivity,99.23,1320202,7.51627402473258e-05
79,New Jersey,41.4,2011,Labor productivity,98.565,8828117,1.1164895073320846e-05
80,New Mexico,32.6,2011,Labor productivity,98.418,2080450,4.7306111658535415e-05
81,New York,37.5,2011,Labor productivity,96.617,19499241,4.954910809092518e-06
82,North Carolina,43.7,2011,Labor productivity,102.041,9657592,1.0565884332243482e-05
83,North Dakota,36.6,2011,Labor productivity,90.809,685225,0.0001325243533146047
84,Ohio,42.6,2011,Labor productivity,102.183,11544663,8.85110288624276e-06
85,Oklahoma,45.3,2011,Labor productivity,97.828,3788379,2.582318189389182e-05
86,Oregon,25.8,2011,Labor productivity,100.321,3872036,2.5909108283084145e-05
87,Pennsylvania,44.4,2011,Labor productivity,97.726,12745815,7.66730099252186e-06
88,Rhode Island,40.0,2011,Labor productivity,99.509,1053649,9.444226682699836e-05
89,South Carolina,42.9,2011,Labor productivity,101.239,4671994,2.1669334335617726e-05
90,South Dakota,33.9,2011,Labor productivity,98.782,823579,0.00011994234918568831
91,Tennessee,40.2,2011,Labor productivity,97.7,6399291,1.5267316332387447e-05
92,Texas,41.5,2011,Labor productivity,97.786,25645629,3.8129694537809934e-06
93,Utah,41.8,2011,Labor productivity,101.312,2814384,3.599793063064599e-05
94,Vermont,31.0,2011,Labor productivity,100.155,627049,0.00015972435965929297
95,Virginia,33.3,2011,Labor productivity,100.467,8101155,1.240156496203319e-05
96,Washington,24.3,2011,Labor productivity,98.592,6826627,1.4442271417495053e-05
97,West Virginia,39.4,2011,Labor productivity,101.863,1856301,5.4874182581380926e-05
98,Wisconsin,37.4,2011,Labor productivity,99.346,5705288,1.7412968460137333e-05
99,Wyoming,34.2,2011,Labor productivity,104.93,567299,0.00018496418995979193
100,Alabama,40.1,2012,Labor productivity,100.0,4815588,2.0765896085794717e-05
101,Alaska,22.0,2012,Labor productivity,100.0,730443,0.00013690322174351728
102,Arizona,46.6,2012,Labor productivity,100.0,6554978,1.5255581330707746e-05
103,Arkansas,40.9,2012,Labor productivity,100.0,2952164,3.3873456894671164e-05
104,California,48.7,2012,Labor productivity,100.0,37948800,2.6351294375579727e-06
105,Colorado,40.3,2012,Labor productivity,100.0,5192647,1.9258000784570953e-05
106,Connecticut,42.4,2012,Labor productivity,100.0,3594547,2.781991722461829e-05
107,Delaware,43.3,2012,Labor productivity,100.0,915179,0.00010926824151340885
108,Florida,36.9,2012,Labor productivity,100.0,19297822,5.181931929934891e-06
109,Georgia,43.0,2012,Labor productivity,100.0,9901430,1.0099551276936766e-05
110,Hawaii,36.2,2012,Labor productivity,100.0,1394804,7.169466104198152e-05
111,Idaho,24.6,2012,Labor productivity,100.0,1595324,6.268319162753147e-05
112,Illinois,41.0,2012,Labor productivity,100.0,12882510,7.762462439384872e-06
113,Indiana,45.6,2012,Labor productivity,100.0,6537703,1.5295892150499955e-05
114,Iowa,42.4,2012,Labor productivity,100.0,3076190,3.250774497023916e-05
115,Kansas,34.8,2012,Labor productivity,100.0,2885257,3.4658957590259724e-05
116,Kentucky,42.4,2012,Labor productivity,100.0,4386346,2.2798019125714204e-05
117,Louisiana,41.3,2012,Labor productivity,100.0,4600972,2.1734537832440624e-05
118,Maine,34.0,2012,Labor productivity,100.0,1327729,7.531657439131028e-05
119,Maryland,45.3,2012,Labor productivity,100.0,5886992,1.6986603684869962e-05
120,Massachusetts,38.3,2012,Labor productivity,100.0,6663005,1.5008243277620233e-05
121,Michigan,40.2,2012,Labor productivity,100.0,9897145,1.0103923909369823e-05
122,Minnesota,33.4,2012,Labor productivity,100.0,5376643,1.8598965934691964e-05
123,Mississippi,40.5,2012,Labor productivity,100.0,2983816,3.3514130898151894e-05
124,Missouri,45.2,2012,Labor productivity,100.0,6024367,1.6599254328297065e-05
125,Montana,28.4,2012,Labor productivity,100.0,1003783,9.962312571541858e-05
126,Nebraska,33.4,2012,Labor productivity,100.0,1853303,5.3957717653292524e-05
127,Nevada,36.2,2012,Labor productivity,100.0,2743996,3.644320181224754e-05
128,New Hampshire,38.1,2012,Labor productivity,100.0,1324232,7.551546858858568e-05
129,New Jersey,40.6,2012,Labor productivity,100.0,8844942,1.1305896635613892e-05
130,New Mexico,32.8,2012,Labor productivity,100.0,2087309,4.7908575107949994e-05
131,New York,36.1,2012,Labor productivity,100.0,19572932,5.109096582974896e-06
132,North Carolina,40.3,2012,Labor productivity,100.0,9749476,1.0256961502341255e-05
133,North Dakota,36.5,2012,Labor productivity,100.0,701176,0.00014261754538090295
134,Ohio,44.8,2012,Labor productivity,100.0,11548923,8.658816064493634e-06
135,Oklahoma,43.2,2012,Labor productivity,100.0,3818814,2.618614051378255e-05
136,Oregon,27.4,2012,Labor productivity,100.0,3899001,2.5647595371224577e-05
137,Pennsylvania,44.5,2012,Labor productivity,100.0,12767118,7.832621269733703e-06
138,Rhode Island,39.0,2012,Labor productivity,100.0,1054621,9.482079344143536e-05
139,South Carolina,39.6,2012,Labor productivity,100.0,4717354,2.119832431485956e-05
140,South Dakota,38.9,2012,Labor productivity,100.0,833566,0.0001199665053517058
141,Tennessee,40.2,2012,Labor productivity,100.0,6453898,1.5494511998795148e-05
142,Texas,40.2,2012,Labor productivity,100.0,26084481,3.833697132022676e-06
143,Utah,44.1,2012,Labor productivity,100.0,2853375,3.504621719893109e-05
144,Vermont,30.0,2012,Labor productivity,100.0,626090,0.00015972144579852736
145,Virginia,32.5,2012,Labor productivity,100.0,8185080,1.221735157139576e-05
146,Washington,26.3,2012,Labor productivity,100.0,6897058,1.4498935633135171e-05
147,West Virginia,39.9,2012,Labor productivity,100.0,1856872,5.385400824612574e-05
148,Wisconsin,37.3,2012,Labor productivity,100.0,5719960,1.748263973873943e-05
149,Wyoming,36.7,2012,Labor productivity,100.0,576305,0.00017351923026869454
150,Alabama,37.4,2013,Labor productivity,99.494,4830081,2.0598826396493142e-05
151,Alaska,20.4,2013,Labor productivity,93.577,737068,0.00012695843531397374
152,Arizona,44.3,2013,Labor productivity,98.627,6632764,1.4869668210718789e-05
153,Arkansas,37.7,2013,Labor productivity,102.583,2959400,3.466344529296479e-05
154,California,49.4,2013,Labor productivity,100.134,38260787,2.6171442840420404e-06
155,Colorado,39.6,2013,Labor productivity,101.697,5269035,1.9300877674944273e-05
156,Connecticut,44.0,2013,Labor productivity,99.447,3594841,2.766381044391115e-05
157,Delaware,42.0,2013,Labor productivity,94.971,923576,0.00010282965343404333
158,Florida,35.0,2013,Labor productivity,98.706,19545621,5.050031411127843e-06
159,Georgia,38.4,2013,Labor productivity,101.33,9972479,1.0160963988994111e-05
160,Hawaii,32.2,2013,Labor productivity,103.266,1408243,7.332967392701402e-05
161,Idaho,25.5,2013,Labor productivity,103.707,1611206,6.436607112932796e-05
162,Illinois,38.9,2013,Labor productivity,98.978,12895129,7.675611465383557e-06
163,Indiana,43.0,2013,Labor productivity,99.961,6568713,1.5217745089487088e-05
164,Iowa,40.8,2013,Labor productivity,97.114,3092997,3.139802592760355e-05
165,Kansas,32.4,2013,Labor productivity,99.077,2893212,3.42446388304763e-05
166,Kentucky,38.5,2013,Labor productivity,101.273,4404659,2.2992245256670264e-05
167,Louisiana,38.6,2013,Labor productivity,96.126,4624527,2.0786125802703714e-05
168,Maine,34.7,2013,Labor productivity,98.844,1328009,7.443021846990494e-05
169,Maryland,42.1,2013,Labor productivity,100.381,5923188,1.6947123744848213e-05
170,Massachusetts,38.3,2013,Labor productivity,99.596,6713315,1.4835591656283073e-05
171,Michigan,37.9,2013,Labor productivity,99.751,9913065,1.0062579030804298e-05
172,Minnesota,33.9,2013,Labor productivity,101.522,5413479,1.8753559402373224e-05
173,Mississippi,37.3,2013,Labor productivity,97.914,2988711,3.2761280699271356e-05
174,Missouri,41.9,2013,Labor productivity,100.252,6040715,1.6596048646559222e-05
175,Montana,27.7,2013,Labor productivity,101.393,1013569,0.00010003561671677014
176,Nebraska,27.0,2013,Labor productivity,98.204,1865279,5.264842417675854e-05
177,Nevada,37.5,2013,Labor productivity,100.067,2775970,3.6047579764911e-05
178,New Hampshire,37.9,2013,Labor productivity,98.869,1326622,7.452688105579435e-05
179,New Jersey,39.1,2013,Labor productivity,102.018,8856972,1.1518383483655587e-05
180,New Mexico,33.5,2013,Labor productivity,97.111,2092273,4.641411517521853e-05
181,New York,35.4,2013,Labor productivity,97.876,19624447,4.98745264006675e-06
182,North Carolina,37.2,2013,Labor productivity,101.131,9843336,1.0274057494329158e-05
183,North Dakota,36.7,2013,Labor productivity,101.473,722036,0.00014053731392894538
184,Ohio,40.2,2013,Labor productivity,101.284,11576684,8.748964729451025e-06
185,Oklahoma,39.3,2013,Labor productivity,101.839,3853214,2.642962472367224e-05
186,Oregon,31.6,2013,Labor productivity,99.337,3922468,2.5325126935388638e-05
187,Pennsylvania,42.5,2013,Labor productivity,100.958,12776309,7.901969183744694e-06
188,Rhode Island,39.3,2013,Labor productivity,100.046,1055081,9.482305150031136e-05
189,South Carolina,35.8,2013,Labor productivity,99.541,4764080,2.0894065590838103e-05
190,South Dakota,37.4,2013,Labor productivity,98.668,842316,0.0001171389359812707
191,Tennessee,38.4,2013,Labor productivity,99.349,6494340,1.5297782376654134e-05
192,Texas,38.6,2013,Labor productivity,102.233,26480266,3.860724057681294e-06
193,Utah,44.7,2013,Labor productivity,99.515,2897640,3.434346571692826e-05
194,Vermont,30.2,2013,Labor productivity,96.446,626210,0.00015401542613500263
195,Virginia,31.1,2013,Labor productivity,102.26,8252427,1.239150615933955e-05
196,Washington,27.4,2013,Labor productivity,103.317,6963985,1.4835902145108008e-05
197,West Virginia,36.0,2013,Labor productivity,99.842,1853914,5.385470954963391e-05
198,Wisconsin,35.4,2013,Labor productivity,98.89,5736754,1.723797115930019e-05
199,Wyoming,36.7,2013,Labor productivity,99.272,582122,0.00017053469891191195
200,Alabama,38.2,2014,Labor productivity,100.082,4841799,2.0670416099470465e-05
201,Alaska,23.4,2014,Labor productivity,93.755,736283,0.0001273355489669054
202,Arizona,43.6,2014,Labor productivity,99.507,6730413,1.4784679632587183e-05
203,Arkansas,36.2,2014,Labor productivity,103.554,2967392,3.489731050026421e-05
204,California,48.9,2014,Labor productivity,101.058,38596972,2.618288294739805e-06
205,Colorado,36.5,2014,Labor productivity,104.357,5350101,1.9505613071603694e-05
206,Connecticut,41.9,2014,Labor productivity,97.66,3594524,2.7169105005280252e-05
207,Delaware,44.7,2014,Labor productivity,101.753,932487,0.00010912001990376273
208,Florida,36.5,2014,Labor productivity,98.619,19845911,4.969235224324043e-06
209,Georgia,40.9,2014,Labor productivity,101.386,10067278,1.0070845366542972e-05
210,Hawaii,30.2,2014,Labor productivity,100.175,1414538,7.081817526287734e-05
211,Idaho,26.6,2014,Labor productivity,103.494,1631112,6.344996542236217e-05
212,Illinois,39.0,2014,Labor productivity,100.585,12884493,7.806671166649707e-06
213,Indiana,42.4,2014,Labor productivity,101.582,6593644,1.540604861287628e-05
214,Iowa,38.5,2014,Labor productivity,101.268,3109350,3.256886487529548e-05
215,Kansas,32.3,2014,Labor productivity,103.047,2900475,3.55276290952344e-05
216,Kentucky,39.0,2014,Labor productivity,100.105,4414349,2.2677182977603267e-05
217,Louisiana,38.2,2014,Labor productivity,96.836,4644013,2.0851793481198265e-05
218,Maine,34.4,2014,Labor productivity,100.996,1330513,7.590756347363761e-05
219,Maryland,43.1,2014,Labor productivity,101.247,5957283,1.6995499458394035e-05
220,Massachusetts,38.5,2014,Labor productivity,99.211,6762596,1.4670549593676748e-05
221,Michigan,38.5,2014,Labor productivity,99.773,9929848,1.0047787237025179e-05
222,Minnesota,31.8,2014,Labor productivity,102.615,5451079,1.8824713419123075e-05
223,Mississippi,38.2,2014,Labor productivity,97.328,2990468,3.254607640008186e-05
224,Missouri,40.2,2014,Labor productivity,100.403,6056202,1.6578542129209034e-05
225,Montana,27.1,2014,Labor productivity,103.478,1021869,0.000101263469192235
226,Nebraska,25.5,2014,Labor productivity,103.147,1879321,5.488524844877485e-05
227,Nevada,41.0,2014,Labor productivity,97.728,2817628,3.4684493481751314e-05
228,New Hampshire,37.6,2014,Labor productivity,101.069,1333341,7.580131414244368e-05
229,New Jersey,39.6,2014,Labor productivity,100.269,8864525,1.1311265973078084e-05
230,New Mexico,33.1,2014,Labor productivity,101.826,2089568,4.8730646717407616e-05
231,New York,35.2,2014,Labor productivity,98.752,19651049,5.025278803182466e-06
232,North Carolina,39.8,2014,Labor productivity,101.916,9932887,1.02604610321249e-05
233,North Dakota,34.9,2014,Labor productivity,108.691,737401,0.00014739741334769007
234,Ohio,40.4,2014,Labor productivity,104.348,11602700,8.993423944426727e-06
235,Oklahoma,39.0,2014,Labor productivity,106.842,3878187,2.7549470925460787e-05
236,Oregon,27.7,2014,Labor productivity,99.111,3963244,2.5007544324800595e-05
237,Pennsylvania,42.8,2014,Labor productivity,101.715,12788313,7.95374651840317e-06
238,Rhode Island,37.0,2014,Labor productivity,98.618,1055936,9.33939178132008e-05
239,South Carolina,38.1,2014,Labor productivity,102.326,4823617,2.1213541622396637e-05
240,South Dakota,33.2,2014,Labor productivity,102.231,849129,0.00012039513430821464
241,Tennessee,38.1,2014,Labor productivity,98.522,6541223,1.5061709408164193e-05
242,Texas,37.7,2014,Labor productivity,101.466,26964333,3.762970884538475e-06
243,Utah,41.4,2014,Labor productivity,100.446,2936879,3.420161334532338e-05
244,Vermont,29.0,2014,Labor productivity,100.096,625214,0.00016009878217698262
245,Virginia,31.8,2014,Labor productivity,100.305,8310993,1.206895493715372e-05
246,Washington,25.2,2014,Labor productivity,105.125,7054655,1.4901508294877637e-05
247,West Virginia,35.3,2014,Labor productivity,101.223,1849489,5.473025251839832e-05
248,Wisconsin,38.4,2014,Labor productivity,99.746,5751525,1.734253089398029e-05
249,Wyoming,35.1,2014,Labor productivity,97.619,582531,0.00016757734781496606
250,Alabama,39.3,2015,Labor productivity,99.032,4852347,2.0409092754495918e-05
251,Alaska,23.1,2015,Labor productivity,95.518,737498,0.00012951628343398896
252,Arizona,40.5,2015,Labor productivity,98.159,6829676,1.4372424109137827e-05
253,Arkansas,35.1,2015,Labor productivity,102.651,2978048,3.44692227929167e-05
254,California,49.4,2015,Labor productivity,103.218,38918045,2.652188721196042e-06
255,Colorado,35.5,2015,Labor productivity,107.964,5450623,1.9807644006932785e-05
256,Connecticut,41.0,2015,Labor productivity,100.93,3587122,2.813676256341435e-05
257,Delaware,43.7,2015,Labor productivity,102.572,941252,0.0001089740048361119
258,Florida,34.7,2015,Labor productivity,100.482,20209042,4.972130791751534e-06
259,Georgia,37.8,2015,Labor productivity,103.394,10178447,1.0158131196242414e-05
260,Hawaii,32.8,2015,Labor productivity,103.611,1422052,7.286020483076569e-05
261,Idaho,24.8,2015,Labor productivity,100.107,1651059,6.0631994374519624e-05
262,Illinois,39.5,2015,Labor productivity,101.209,12858913,7.870727486841229e-06
263,Indiana,40.0,2015,Labor productivity,98.203,6608422,1.4860279806586202e-05
264,Iowa,37.3,2015,Labor productivity,104.117,3120960,3.3360568543012405e-05
265,Kansas,32.2,2015,Labor productivity,105.444,2909011,3.6247370669963094e-05
266,Kentucky,39.3,2015,Labor productivity,97.723,4425976,2.207942383781566e-05
267,Louisiana,36.7,2015,Labor productivity,96.656,4664628,2.0721052139634715e-05
268,Maine,33.8,2015,Labor productivity,97.414,1328262,7.333944658508637e-05
269,Maryland,43.4,2015,Labor productivity,103.131,5985562,1.7229961029557458e-05
270,Massachusetts,36.2,2015,Labor productivity,102.178,6794228,1.5038941878312002e-05
271,Michigan,38.4,2015,Labor productivity,99.035,9931715,9.971591009206365e-06
272,Minnesota,31.4,2015,Labor productivity,101.723,5482032,1.8555710729160283e-05
273,Mississippi,35.6,2015,Labor productivity,97.405,2988471,3.2593590501631104e-05
274,Missouri,39.0,2015,Labor productivity,100.168,6071732,1.6497434339987338e-05
275,Montana,28.5,2015,Labor productivity,105.728,1030475,0.00010260122758921856
276,Nebraska,26.0,2015,Labor productivity,105.66,1891277,5.586701472074159e-05
277,Nevada,39.6,2015,Labor productivity,97.054,2866939,3.38528304927311e-05
278,New Hampshire,37.4,2015,Labor productivity,102.42,1336350,7.664159838365698e-05
279,New Jersey,39.6,2015,Labor productivity,100.301,8867949,1.1310507085685765e-05
280,New Mexico,30.2,2015,Labor productivity,104.208,2089291,4.987720714826226e-05
281,New York,35.7,2015,Labor productivity,98.033,19654666,4.987772369166691e-06
282,North Carolina,38.8,2015,Labor productivity,101.861,10031646,1.0153966756801426e-05
283,North Dakota,32.8,2015,Labor productivity,109.502,754066,0.00014521540554805548
284,Ohio,39.1,2015,Labor productivity,103.498,11617527,8.908780672513178e-06
285,Oklahoma,35.7,2015,Labor productivity,113.823,3909500,2.9114464765315256e-05
286,Oregon,28.9,2015,Labor productivity,101.667,4015792,2.531679927645655e-05
287,Pennsylvania,42.6,2015,Labor productivity,102.275,12784826,7.999717790449397e-06
288,Rhode Island,39.7,2015,Labor productivity,98.912,1056065,9.366090155435509e-05
289,South Carolina,35.9,2015,Labor productivity,101.237,4891938,2.069466129783329e-05
290,South Dakota,33.3,2015,Labor productivity,103.199,853988,0.00012084361841149993
291,Tennessee,36.3,2015,Labor productivity,100.948,6591170,1.531564198768959e-05
292,Texas,37.1,2015,Labor productivity,105.263,27470056,3.831917925467644e-06
293,Utah,40.5,2015,Labor productivity,102.269,2981835,3.4297337042458755e-05
294,Vermont,29.0,2015,Labor productivity,99.393,625216,0.00015897385863445593
295,Virginia,32.2,2015,Labor productivity,101.396,8361808,1.2126085650376091e-05
296,Washington,27.2,2015,Labor productivity,106.273,7163657,1.4835020716374331e-05
297,West Virginia,35.7,2015,Labor productivity,101.589,1842050,5.5149968784777826e-05
298,Wisconsin,37.6,2015,Labor productivity,101.292,5760940,1.758254729262933e-05
299,Wyoming,34.8,2015,Labor productivity,105.084,585613,0.0001794427377807528
300,Alabama,39.4,2016,Labor productivity,98.839,4863525,2.0322502711510684e-05
301,Alaska,24.1,2016,Labor productivity,96.501,741456,0.00013015067650676507
302,Arizona,42.5,2016,Labor productivity,99.867,6941072,1.4387835193180535e-05
303,Arkansas,36.4,2016,Labor productivity,101.932,2989918,3.40919048616049e-05
304,California,46.4,2016,Labor productivity,104.136,39167117,2.6587609192680686e-06
305,Colorado,35.2,2016,Labor productivity,108.474,5539215,1.9582919240361676e-05
306,Connecticut,40.2,2016,Labor productivity,99.125,3578141,2.770293289168873e-05
307,Delaware,41.3,2016,Labor productivity,93.816,948921,9.886597514440085e-05
308,Florida,37.2,2016,Labor productivity,101.491,20613477,4.923526487064749e-06
309,Georgia,38.5,2016,Labor productivity,105.235,10301890,1.0215115867088466e-05
310,Hawaii,31.8,2016,Labor productivity,105.801,1427559,7.411322404187847e-05
311,Idaho,24.6,2016,Labor productivity,102.859,1682380,6.113898168071423e-05
312,Illinois,38.4,2016,Labor productivity,101.403,12820527,7.909425252175672e-06
313,Indiana,37.8,2016,Labor productivity,99.373,6634304,1.4978662418846046e-05
314,Iowa,35.6,2016,Labor productivity,103.663,3131371,3.3104668849523096e-05
315,Kansas,31.9,2016,Labor productivity,111.23,2910844,3.8212284821859226e-05
316,Kentucky,39.8,2016,Labor productivity,97.665,4438182,2.2005632035820074e-05
317,Louisiana,37.2,2016,Labor productivity,97.326,4678135,2.0804444506197447e-05
318,Maine,32.1,2016,Labor productivity,99.163,1331317,7.448488977456158e-05
319,Maryland,41.2,2016,Labor productivity,106.577,6003323,1.775300112954109e-05
320,Massachusetts,35.8,2016,Labor productivity,102.093,6823608,1.4961732854525056e-05
321,Michigan,36.7,2016,Labor productivity,99.642,9950571,1.0013696701425476e-05
322,Minnesota,28.6,2016,Labor productivity,102.788,5522744,1.8611762558612167e-05
323,Mississippi,36.9,2016,Labor productivity,98.758,2987938,3.3052225313912135e-05
324,Missouri,37.6,2016,Labor productivity,100.335,6087135,1.6483123834119006e-05
325,Montana,26.7,2016,Labor productivity,100.499,1040859,9.655390403503259e-05
326,Nebraska,25.4,2016,Labor productivity,106.601,1905616,5.594044130611833e-05
327,Nevada,36.8,2016,Labor productivity,95.809,2917563,3.283870819584701e-05
328,New Hampshire,36.0,2016,Labor productivity,103.594,1342307,7.717608564955706e-05
329,New Jersey,39.6,2016,Labor productivity,99.756,8870827,1.1245400231568038e-05
330,New Mexico,30.6,2016,Labor productivity,104.174,2091630,4.980517586762477e-05
331,New York,34.8,2016,Labor productivity,100.228,19633428,5.104966896254693e-06
332,North Carolina,39.1,2016,Labor productivity,101.988,10154788,1.0043341131296881e-05
333,North Dakota,29.9,2016,Labor productivity,107.031,754434,0.00014186926888236744
334,Ohio,38.3,2016,Labor productivity,104.281,11634370,8.963184083022975e-06
335,Oklahoma,36.2,2016,Labor productivity,110.463,3926331,2.8133899052321363e-05
336,Oregon,24.6,2016,Labor productivity,102.382,4089976,2.5032420728141193e-05
337,Pennsylvania,41.4,2016,Labor productivity,103.221,12782275,8.075323054777026e-06
338,Rhode Island,37.0,2016,Labor productivity,100.692,1056770,9.528279568874967e-05
339,South Carolina,37.3,2016,Labor productivity,102.64,4957968,2.0702029541134593e-05
340,South Dakota,30.9,2016,Labor productivity,103.029,862996,0.00011938525786909788
341,Tennessee,36.6,2016,Labor productivity,98.928,6646010,1.4885322170746057e-05
342,Texas,36.2,2016,Labor productivity,106.024,27914410,3.7981816559977446e-06
